snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_q05,ber_q95,realization,n_realizations
-1.0,600.0,1200.0,0.5,0.38726257411290343,conv1d,clean,,,,,,,,,
7.0,601.0,1200.0,0.5008333333333334,0.7452252234566434,conv1d,clean,,,,,,,,,
15.0,599.0,1200.0,0.49916666666666665,0.9228048940340213,conv1d,clean,,,,,,,,,
-1.0,600.0,1200.0,0.5,0.3576568124303565,conv1d,cw,-10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
7.0,600.0,1200.0,0.5,0.6601734656214984,conv1d,cw,-10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
15.0,600.0,1200.0,0.5,0.8173914439476461,conv1d,cw,-10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
-1.0,600.0,1200.0,0.5,0.06910146644434759,conv1d,cw,10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
7.0,600.0,1200.0,0.5,0.09317446310241158,conv1d,cw,10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
15.0,600.0,1200.0,0.5,0.07422124300944542,conv1d,cw,10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
