arch,modality,jammer_model,in_channel,jsr_db,ber,ber_std,ber_min,ber_max,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
lstm,fh_off,barrage,partial_band,6.0,0.47661999999999993,0.023526657221118324,0.4393,0.49715,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_off,barrage,partial_band,10.0,0.5002500000000001,0.0017233687939614036,0.4973,0.50225,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_on,barrage,partial_band,-10.0,0.0016300000000000002,0.0013789851340750559,0.00035,0.00415,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_on,barrage,partial_band,-6.0,0.01268,0.01107910646216562,0.0032,0.0337,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_on,barrage,partial_band,-2.0,0.09312000000000001,0.0633907927068277,0.02925,0.2045,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_on,barrage,partial_band,2.0,0.3173,0.10360412636570032,0.186,0.4592,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_on,barrage,partial_band,6.0,0.47661999999999993,0.023526657221118324,0.4393,0.49715,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_on,barrage,partial_band,10.0,0.5002500000000001,0.0017233687939614036,0.4973,0.50225,1.0,0.00023,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,cw,-10.0,0.00236,0.001706575518399347,0.00035,0.00545,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,cw,-6.0,0.021910000000000002,0.017059232104640585,0.00075,0.05205,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,cw,-2.0,0.15196,0.10073490656172765,0.0034,0.3055,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,cw,2.0,0.36444,0.1697883871176118,0.03245,0.49105,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,cw,6.0,0.44119,0.11818033423543868,0.2049,0.50345,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,cw,10.0,0.49135000000000006,0.018448197743953208,0.45495,0.50375,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,cw,-10.0,0.00072,0.00036687872655688286,0.0002,0.00135,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,cw,-6.0,0.00557,0.004478347909664903,0.0003,0.0137,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,cw,-2.0,0.03861,0.025571984670729023,0.00095,0.0777,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,cw,2.0,0.09169,0.04280811138090537,0.0081,0.1243,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,cw,6.0,0.11111,0.029031128121380333,0.05305,0.1261,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,cw,10.0,0.12335,0.004635515073861808,0.1141,0.12625,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,partial_band,-10.0,0.00149,0.0010580170130957253,0.00035,0.0033,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,partial_band,-6.0,0.01318,0.01146989973800992,0.0031,0.03465,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,partial_band,-2.0,0.09425,0.06553148861425323,0.02955,0.2093,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,partial_band,2.0,0.31819000000000003,0.10786426377628505,0.18185,0.46645,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,partial_band,6.0,0.47639,0.024264612092510372,0.43825,0.5047,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,fixed_partial,partial_band,10.0,0.49977,0.003632437198355941,0.49575,0.5049,1.0,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,partial_band,-10.0,0.00057,0.0003613862199918531,0.00025,0.00125,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,partial_band,-6.0,0.0036,0.0030657788569953964,0.0008,0.0093,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,partial_band,-2.0,0.02377,0.016769603453868548,0.0071,0.0527,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,partial_band,2.0,0.07968,0.0273267561192323,0.04515,0.11595,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,partial_band,6.0,0.11925999999999999,0.006070535396486868,0.1102,0.12505,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_on,fixed_partial,partial_band,10.0,0.12491,0.0004892851929090001,0.12425,0.1256,0.25,0.00026000000000000003,100000.0,1,10.0,8,5
lstm,fh_off,follower,cw,-10.0,0.00241,0.0015223008901002455,0.0003,0.00485,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,cw,-6.0,0.0225,0.017368880217216078,0.00035,0.05235,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,cw,-2.0,0.15313,0.10103065673348857,0.00255,0.30515,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,cw,2.0,0.36550000000000005,0.17096361893689546,0.0312,0.4927,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,cw,6.0,0.44115000000000004,0.11995978909618003,0.20125,0.50325,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,cw,10.0,0.49235999999999996,0.01803070714087496,0.45645,0.50345,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,cw,-10.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,cw,-6.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,cw,-2.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,cw,2.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,cw,6.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,cw,10.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,partial_band,-10.0,0.00177,0.001287866452703851,0.00065,0.0042,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,partial_band,-6.0,0.01333,0.011207256577771385,0.00355,0.0344,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,partial_band,-2.0,0.09597,0.06575358241191122,0.0314,0.21195,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,partial_band,2.0,0.31839000000000006,0.10551166949679075,0.18575,0.4655,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,partial_band,6.0,0.47647000000000006,0.025298035496852337,0.4372,0.50365,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,follower,partial_band,10.0,0.49989999999999996,0.0028530685235374303,0.4968,0.5039,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,partial_band,-10.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,partial_band,-6.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,partial_band,-2.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,partial_band,2.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,partial_band,6.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_on,follower,partial_band,10.0,0.00016999999999999999,2.449489742783179e-05,0.00015,0.0002,0.0,0.00016999999999999999,100000.0,1,10.0,8,5
lstm,fh_off,sweep,cw,-10.0,0.00253,0.002206717018559471,0.0003,0.0067,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,cw,-6.0,0.022719999999999997,0.01734109569779257,0.00045,0.05255,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,cw,-2.0,0.15331,0.10099701183698456,0.0028,0.3049,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,cw,2.0,0.3667,0.17101739092852516,0.0321,0.4943,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,cw,6.0,0.4426,0.1193291875443724,0.204,0.50715,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,cw,10.0,0.49402,0.01693628058341027,0.4606,0.5075,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,cw,-10.0,0.00049,0.000288790581563873,0.00025,0.00105,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,cw,-6.0,0.0028899999999999998,0.0022289908030317216,0.00025,0.0068,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,cw,-2.0,0.019079999999999996,0.012400749977319919,0.0007,0.0377,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,cw,2.0,0.04489,0.021200410373386644,0.0036,0.0612,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,cw,6.0,0.05439000000000001,0.014859118412611162,0.0247,0.06295,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,cw,10.0,0.060640000000000006,0.002483827691286174,0.05585,0.063,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,partial_band,-10.0,0.0016499999999999998,0.0010535653752852738,0.0006,0.0035,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,partial_band,-6.0,0.013290000000000001,0.01134973127435183,0.0035,0.0345,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,partial_band,-2.0,0.09542999999999999,0.06459775228287747,0.0308,0.20845,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,partial_band,2.0,0.31581000000000004,0.10496283818571218,0.18345,0.4603,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,partial_band,6.0,0.4747199999999999,0.024410092175163947,0.43615,0.4999,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_off,sweep,partial_band,10.0,0.49794,0.003075776324767456,0.49245,0.50105,1.0,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,partial_band,-10.0,0.00038,0.00014352700094407323,0.0002,0.0006,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,partial_band,-6.0,0.00178,0.0011183022847155413,0.00055,0.0036,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,partial_band,-2.0,0.011380000000000001,0.00721592682889731,0.0039,0.0236,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,partial_band,2.0,0.03885,0.012838730466833547,0.02195,0.0556,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,partial_band,6.0,0.05819,0.003705590371317369,0.0527,0.06155,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
lstm,fh_on,sweep,partial_band,10.0,0.06123000000000001,0.0008840814442120146,0.0603,0.0626,0.12191999999999999,0.00027,100000.0,1,10.0,8,5
