arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
lstm,fh_off,omniscient,barrage,partial_band,-2.0,4,0.03645,1.0,0.0003,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,2.0,4,0.17765,1.0,0.0003,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,6.0,4,0.43955,1.0,0.0003,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,10.0,4,0.5015,1.0,0.0003,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-10.0,0,0.00285,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-6.0,0,0.0203,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-2.0,0,0.17285,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,2.0,0,0.45595,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,6.0,0,0.50355,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,10.0,0,0.50355,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-10.0,0,0.00145,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-6.0,0,0.0038,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-2.0,0,0.02975,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,2.0,0,0.2037,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,6.0,0,0.45935,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,10.0,0,0.5028,1.0,0.001,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-10.0,1,0.002,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-6.0,1,0.01375,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-2.0,1,0.09385,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,2.0,1,0.3872,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,6.0,1,0.5036,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,10.0,1,0.50375,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-10.0,1,0.00165,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-6.0,1,0.0124,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-2.0,1,0.0921,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,2.0,1,0.34835,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,6.0,1,0.4882,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,10.0,1,0.4962,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-10.0,2,0.00025,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-6.0,2,0.0002,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-2.0,2,0.00205,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,2.0,2,0.0397,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,6.0,2,0.2079,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,10.0,2,0.4534,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-10.0,2,0.0034,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-6.0,2,0.03485,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-2.0,2,0.2087,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,2.0,2,0.46615,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,6.0,2,0.50485,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,10.0,2,0.5049,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-10.0,3,0.0116,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-6.0,3,0.0572,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-2.0,3,0.308,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,2.0,3,0.4882,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,6.0,3,0.49575,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,10.0,3,0.49575,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-10.0,3,0.0049,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-6.0,3,0.0204,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-2.0,3,0.10815,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,2.0,3,0.38295,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,6.0,3,0.4919,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,10.0,3,0.49575,1.0,0.00075,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-10.0,4,0.00215,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-6.0,4,0.02585,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,-2.0,4,0.18245,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,2.0,4,0.4661,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,6.0,4,0.49875,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,cw,10.0,4,0.49875,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-10.0,4,0.0007,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-6.0,4,0.0045,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,-2.0,4,0.03555,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,2.0,4,0.18145,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,6.0,4,0.43685,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,fixed_partial,partial_band,10.0,4,0.4994,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,-10.0,0,0.0032,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,-6.0,0,0.02425,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,-2.0,0,0.1776,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,2.0,0,0.46005,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,6.0,0,0.5017,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,10.0,0,0.5017,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,-10.0,0,0.0,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,-6.0,0,0.0033,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,-2.0,0,0.03435,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,2.0,0,0.21015,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,6.0,0,0.463,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,10.0,0,0.5011,1.0,0.0001,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,-10.0,1,0.00055,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,-6.0,1,0.0096,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,-2.0,1,0.0938,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,2.0,1,0.3872,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,6.0,1,0.5074,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,cw,10.0,1,0.5075,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,-10.0,1,0.00185,1.0,0.0007,100000.0,1,10.0,8
lstm,fh_off,omniscient,sweep,partial_band,-6.0,1,0.0101,1.0,0.0007,100000.0,1,10.0,8
