snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db
-1.0,703,40000,0.017575,0.3529302950350637,lstm,partial_band,-10.0
3.0,217,40000,0.005425,0.4999070181835722,lstm,partial_band,-10.0
7.0,133,40000,0.003325,0.6025760433133617,lstm,partial_band,-10.0
11.0,106,40000,0.00265,0.6596467784193475,lstm,partial_band,-10.0
15.0,116,40000,0.0029,0.6792975788707268,lstm,partial_band,-10.0
21.0,124,40000,0.0031,0.6833934525069901,lstm,partial_band,-10.0
-1.0,2525,40000,0.063125,0.31852902622153634,lstm,partial_band,-6.0
3.0,1603,40000,0.040075,0.43556382079947714,lstm,partial_band,-6.0
7.0,1300,40000,0.0325,0.5042846557107482,lstm,partial_band,-6.0
11.0,1157,40000,0.028925,0.5350454492448709,lstm,partial_band,-6.0
15.0,1275,40000,0.031875,0.5477846028746397,lstm,partial_band,-6.0
21.0,1228,40000,0.0307,0.5512008812819315,lstm,partial_band,-6.0
-1.0,5567,40000,0.139175,0.2555049527996173,lstm,partial_band,-2.0
3.0,4380,40000,0.1095,0.32741019124260523,lstm,partial_band,-2.0
7.0,3722,40000,0.09305,0.3579697203457431,lstm,partial_band,-2.0
11.0,3560,40000,0.089,0.3711946681314488,lstm,partial_band,-2.0
15.0,3585,40000,0.089625,0.37495978830606547,lstm,partial_band,-2.0
21.0,3584,40000,0.0896,0.3774207313039386,lstm,partial_band,-2.0
-1.0,18977,40000,0.474425,0.1818207306703801,lstm,partial_band,2.0
3.0,19103,40000,0.477575,0.21185265882726664,lstm,partial_band,2.0
7.0,19192,40000,0.4798,0.23612928865408572,lstm,partial_band,2.0
11.0,19266,40000,0.48165,0.2344748133735743,lstm,partial_band,2.0
15.0,19250,40000,0.48125,0.23984732864442457,lstm,partial_band,2.0
21.0,19267,40000,0.481675,0.24099978257823781,lstm,partial_band,2.0
-1.0,19960,40000,0.499,0.09661948501833384,lstm,partial_band,6.0
3.0,19977,40000,0.499425,0.1123793045730988,lstm,partial_band,6.0
7.0,19990,40000,0.49975,0.12194888114038957,lstm,partial_band,6.0
11.0,19991,40000,0.499775,0.11937954681152255,lstm,partial_band,6.0
15.0,19994,40000,0.49985,0.12086499060232514,lstm,partial_band,6.0
21.0,19995,40000,0.499875,0.12067476049640977,lstm,partial_band,6.0
-1.0,19583,40000,0.489575,0.05985960224761245,lstm,partial_band,10.0
3.0,19587,40000,0.489675,0.07045245503151587,lstm,partial_band,10.0
7.0,19647,40000,0.491175,0.07183818391041684,lstm,partial_band,10.0
11.0,19590,40000,0.48975,0.06811958719912413,lstm,partial_band,10.0
15.0,19556,40000,0.4889,0.07303323659461915,lstm,partial_band,10.0
21.0,19623,40000,0.490575,0.0686658552048729,lstm,partial_band,10.0
