n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,lstm_1_energy,lstm_1_cos,dropout_lstm_energy,dropout_lstm_cos,shared_gap_energy,shared_gap_cos,lstm_proj_energy,lstm_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,2714,0.011308333333333333,55.718708654284875,5.346706220609698e-10,0.6269990841271381,2.8592980662027996,,,0.006069140878816446,0.9669610967636109,0.006069140878816446,0.9669610967636109,0.0011842577990765373,0.9669610967636109,0.011316067317624887,0.9737576036453247,0.25732179997762045,0.9991067652702331,0.0036916979396094877,0.9075950716336568,0.0870978541413943,0.9970838918685913,lstm,cw,-10.0,0
240000,14747,0.06144583333333333,62.51254488512049,5.349655583840385e-10,0.5637249608875639,2.5400436462402345,,,0.006982389551152786,0.8587216087977092,0.006982389551152786,0.8587216087977092,0.001236130876466632,0.8587216087977092,0.010141929499308268,0.8843212167421977,0.2566092294692993,0.9983270932833354,0.00466533141049246,0.849376594543457,0.08695775665044785,0.9916686474482218,lstm,cw,-6.0,0
240000,62200,0.25916666666666666,71.44227617068918,5.360341583677574e-10,0.468849089905451,1.4421368006388346,,,0.00924591337343057,0.5638689072926839,0.00924591337343057,0.5638689072926839,0.0017536376086374123,0.5638689072926839,0.011854155866305033,0.6491540175278981,0.2544552096048991,0.997290210088094,0.007104882461329301,0.776332479317983,0.08772958579858144,0.9770618926684062,lstm,cw,-2.0,0
240000,115105,0.47960416666666666,81.26310926307725,5.482012086346482e-10,0.3372005125428241,0.18080481824874878,,,0.014926275263726712,0.21980438818534215,0.014926275263726712,0.21980438818534215,0.004482565111666918,0.21980438818534215,0.029286781684557596,0.4060113025506337,0.2492645009994507,0.996271686553955,0.013223080898324649,0.6962006100018819,0.09323669022719065,0.9392406487464905,lstm,cw,2.0,0
240000,120000,0.5,91.20489774873751,6.351271945577391e-10,0.18268759805927856,-0.0112832901040713,,,0.02939229391813278,0.06685958804686865,0.02939229391813278,0.06685958804686865,0.014248742251594861,0.06685958804686865,0.09296469058593114,0.3383534421523412,0.24112610650857288,0.9949195693333943,0.028575963977972667,0.6188106152216594,0.11393946071068446,0.8478444250424703,lstm,cw,6.0,0
240000,120000,0.5,102.34531841517423,9.496094246029862e-10,0.07714757954438632,-0.01700173025925954,,,0.058658822200695675,0.030012500698367753,0.058658822200695675,0.030012500698367753,0.035193727562824885,0.030012500698367753,0.2460692233244578,0.3276819975376129,0.2306575630346934,0.9904469030698141,0.06711635673046112,0.5521173470020294,0.16730659160614014,0.7010807121594747,lstm,cw,10.0,0
240000,1881,0.0078375,53.51656089506649,5.342821697206863e-10,0.6466270366338784,2.8806282709757487,,,0.005798678447554509,0.9711430932680766,0.005798678447554509,0.9711430932680766,0.0011792134872327248,0.9711430932680766,0.01129817095051209,0.9788137442270914,0.25619845066070557,0.9994913543065389,0.0035756337138513725,0.9136678876876831,0.08668479783137639,0.9978521472613017,lstm,cw,-10.0,1
240000,10045,0.041854166666666665,59.55306771186192,5.344396928678531e-10,0.5927827356308684,2.650494475809733,,,0.006344128691901763,0.8722749994595845,0.006344128691901763,0.8722749994595845,0.0012120221521084507,0.8722749994595845,0.009849151121079923,0.9032104336420695,0.25473189741770424,0.9989721034367879,0.004384493881339828,0.8558185243606568,0.08616152747472128,0.9935155094464619,lstm,cw,-6.0,1
240000,49434,0.205975,68.0060933125262,5.350933656336387e-10,0.507681622759914,1.7207165654500325,,,0.00785902186607321,0.5960891858736674,0.00785902186607321,0.5960891858736674,0.0016238199037810167,0.5960891858736674,0.010010186200837294,0.6897932477792104,0.2522803945859273,0.9982300744056701,0.006416413079202175,0.7817707236607869,0.08625611315170924,0.981558533191681,lstm,cw,-2.0,1
240000,110411,0.4600458333333333,78.1302297829008,5.379318613800212e-10,0.38415839518767486,0.3004068725268046,,,0.012136353404819965,0.2524013429383437,0.012136353404819965,0.2524013429383437,0.003776964271813631,0.2524013429383437,0.020771493118007977,0.4270217613379161,0.24839274278481802,0.9975846037864685,0.011520607976118723,0.6993981294631958,0.08998398706912994,0.952709817091624,lstm,cw,2.0,1
240000,119988,0.49995,88.10209586538124,5.615644088218408e-10,0.21490482919234238,-0.009115519575277965,,,0.023696979675690334,0.07970941655834515,0.023696979675690334,0.07970941655834515,0.011502597311635812,0.07970941655834515,0.06508726559480031,0.3441228224039078,0.24296138976415,0.9972485849062602,0.024342153628667196,0.6195170605977376,0.10534785621960958,0.8819128244717915,lstm,cw,6.0,1
240000,120000,0.5,96.69444659684807,7.07903304074119e-10,0.09108101093994975,-0.010066511793931325,,,0.04798216191927592,0.03799121503035228,0.04798216191927592,0.03799121503035228,0.02828194341758887,0.03799121503035228,0.1703430092493693,0.32807743100325265,0.23586200687885284,0.9960055007934571,0.05654903482198715,0.550866704305013,0.14442367332776387,0.7594513188203176,lstm,cw,10.0,1
240000,410,0.0017083333333333334,55.26379138355757,5.343283960696663e-10,0.6328375965412159,2.927809454345703,,,0.005591444674382607,0.9958971691131592,0.005591444674382607,0.9958971691131592,0.001175668376001219,0.9958971691131592,0.01217913628568252,0.9980373110771179,0.25652748975753786,0.999822724501292,0.0037060296124468246,0.8917619307835897,0.08707907625039418,0.9985269773801168,lstm,cw,-10.0,2
240000,521,0.002170833333333333,63.15458396625043,5.344564703616754e-10,0.5573402339433448,2.917810393778483,,,0.005793503620227178,0.9826517640749614,0.005793503620227178,0.9826517640749614,0.0011274765610694885,0.9826517640749614,0.011068345281978448,0.9924420331319174,0.25523464500109355,0.9996071122487387,0.0047134544273217515,0.8225158476829528,0.08678364094495773,0.9961739257176717,lstm,cw,-6.0,2
240000,1086,0.004525,72.93575111394897,5.347098670839644e-10,0.4446705598546886,2.8747870483398437,,,0.00633000746195515,0.9195290665626525,0.00633000746195515,0.9195290665626525,0.0010524026788771154,0.9195290665626525,0.00874456259806951,0.9644392762184143,0.25294785615603127,0.999206021785736,0.007244976444542408,0.7389052596092224,0.08647453942696254,0.9897843761444092,lstm,cw,-2.0,2
240000,4422,0.018425,82.76959909746171,5.357493790153861e-10,0.3105553677808954,2.662448853047689,,,0.007793101753791173,0.7144848713080089,0.007793101753791173,0.7144848713080089,0.001065839531334738,0.7144848713080089,0.005078428111225367,0.8514610191980998,0.24982974324226379,0.9986359225908915,0.013605434208114942,0.6528403897285462,0.08712019910017649,0.9728671202659607,lstm,cw,2.0,2
240000,30405,0.1266875,91.56050773856069,5.446924034325415e-10,0.18704773106938377,1.85788699798584,,,0.011597113408148289,0.397660103559494,0.011597113408148289,0.397660103559494,0.001648399803042412,0.397660103559494,0.002113065934057037,0.5473530151049296,0.2469830774863561,0.9981368824640909,0.029584656557440758,0.5761930940151214,0.09200755841334661,0.9353861945470174,lstm,cw,6.0,2
240000,96197,0.40082083333333335,99.96607350715024,5.972010811830912e-10,0.10046415307040393,0.7304647229512533,,,0.020022102755308153,0.17715867029130458,0.020022102755308153,0.17715867029130458,0.00363901352348427,0.17715867029130458,0.0018618655315910777,0.23683976336320242,0.24521986297766368,0.997924293200175,0.06972657122214636,0.51579105869929,0.10793341325918833,0.8697362235387166,lstm,cw,10.0,2
240000,4049,0.016870833333333335,60.60900970368782,5.344146322072024e-10,0.5800658436988188,2.812933336385091,,,0.00588147473509113,0.9654314179420471,0.00588147473509113,0.9654314179420471,0.0011865040700882673,0.9654314179420471,0.012900176918009917,0.9743689541816711,0.2577555100917816,0.9993963775634765,0.004160551325728496,0.8653929564158122,0.08785283465782802,0.9966508267720541,lstm,cw,-10.0,3
240000,29132,0.12138333333333333,69.08899146259532,5.347167027911169e-10,0.49234187663772255,2.155110187784831,,,0.0065695939416686696,0.8437829081217448,0.0065695939416686696,0.8437829081217448,0.0012510995097458363,0.8437829081217448,0.013949814607699711,0.8516954286893209,0.25778326535224916,0.998743066628774,0.005854314820716779,0.7897814316749573,0.088840318608284,0.9902344020207723,lstm,cw,-6.0,3
240000,100655,0.41939583333333336,78.60200224043844,5.366257669660402e-10,0.37849593328417874,0.5469712354024251,,,0.0084624725215137,0.5390577562650045,0.0084624725215137,0.5390577562650045,0.0017991057617589832,0.5390577562650045,0.02208868981997172,0.5553918277422587,0.2574545555750529,0.9977682126363119,0.010109346703688304,0.704977055867513,0.09266042582591374,0.969690896987915,lstm,cw,-2.0,3
240000,119896,0.49956666666666666,88.03361791216248,5.503851089212678e-10,0.2521749443713331,0.019279141334692638,,,0.0131542533437411,0.2586298267741998,0.0131542533437411,0.2586298267741998,0.00395287314603726,0.2586298267741998,0.053792959896723426,0.4340350890159607,0.25574498403867085,0.9970245696703592,0.020798280575871467,0.6227008706728617,0.10497559596300125,0.9176157665252686,lstm,cw,2.0,3
240000,120000,0.5,101.26020195687245,6.265987240164291e-10,0.13923747333694989,0.003805370132128398,,,0.02219754446049531,0.1439252614825964,0.02219754446049531,0.1439252614825964,0.008797079237302144,0.1439252614825964,0.11794198007583619,0.40736759022871655,0.2525633128801982,0.9968416579564412,0.04764889973004659,0.552331292629242,0.13213709514935812,0.8305053299268087,lstm,cw,6.0,3
240000,120000,0.5,132.6233758224758,8.746959452434224e-10,0.06766975721325591,0.0017653857946395874,,,0.03653865821957588,0.1063004202246666,0.03653865821957588,0.1063004202246666,0.016891383848587672,0.1063004202246666,0.21966127401987712,0.39210019222895304,0.24885452580451967,0.9970876286824544,0.11509655859073004,0.4980464802583059,0.18589449722766876,0.7201664632161459,lstm,cw,10.0,3
240000,1504,0.006266666666666667,56.264441798770235,5.344336981960099e-10,0.6221051639273508,2.889992910257975,,,0.005645982161164284,0.9855555384953817,0.005645982161164284,0.9855555384953817,0.0011853272557258605,0.9855555384953817,0.012767224321762721,0.990438278834025,0.2572805418968201,0.9997034918467204,0.0037686695732176306,0.8924419306119283,0.08750334119796753,0.9981281147003174,lstm,cw,-10.0,4
240000,10285,0.042854166666666665,64.17532309770179,5.347034556729063e-10,0.5448907530834254,2.617057957458496,,,0.005964623516549666,0.9266614637374878,0.005964623516549666,0.9266614637374878,0.0011904389003291726,0.9266614637374878,0.012915577668448289,0.9421938088734945,0.25675977794329324,0.9993041857083639,0.004868596793587009,0.8236610800425211,0.08782954561312993,0.9946279923121134,lstm,cw,-6.0,4
