n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,lstm_1_energy,lstm_1_cos,dropout_lstm_energy,dropout_lstm_cos,shared_gap_energy,shared_gap_cos,lstm_proj_energy,lstm_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db
240000,376,0.0015666666666666667,46.829891304789136,5.341806460198741e-10,0.6991641010140024,2.932155399576823,,,0.005459871475398541,1.0,0.005459871475398541,1.0,0.0012134217522417506,1.0,0.012973488580187162,1.0,0.2576699807961782,1.0,0.003040807604479293,1.0,0.08738304951985677,1.0,lstm,clean,
240000,401,0.0016708333333333334,55.63312354286678,5.343229080098629e-10,0.6299111240919179,2.927987082417806,,,0.00559254604006807,0.9963157849311829,0.00559254604006807,0.9963157849311829,0.0011725143250698844,0.9963157849311829,0.012223289363086224,0.9983148940404256,0.2566121026992798,0.9998236699104309,0.0037326486848294734,0.8902548206647237,0.08712897699276606,0.9985082251230876,lstm,cw,-10.0
240000,7637,0.03182083333333333,62.61122051505244,5.350577415439185e-10,0.5623598052494211,2.6983262110392254,,,0.0058724801557759445,0.9414920597076416,0.0058724801557759445,0.9414920597076416,0.0011785644451156258,0.9414920597076416,0.01272217135677735,0.9537795515060424,0.2571440468788147,0.9993114692370096,0.004693050430342555,0.8318684565226236,0.08782884465853373,0.995320820013682,lstm,cw,-6.0
240000,58264,0.24276666666666666,69.73318922359059,5.355996790528809e-10,0.48939765467063945,1.5249364809672037,,,0.0082518651197354,0.5562254059314727,0.0082518651197354,0.5562254059314727,0.0017318039068952202,0.5562254059314727,0.010735445377727349,0.6521112029552459,0.25234549010594687,0.998041064898173,0.0066437273701032,0.7745596140225728,0.08656416796048483,0.9791497844060262,lstm,cw,-2.0
240000,116627,0.48594583333333335,81.43762147221919,5.387952115767387e-10,0.3228682934312584,0.19334377044836681,,,0.010095452592273553,0.39935145354270934,0.010095452592273553,0.39935145354270934,0.002516420424853762,0.39935145354270934,0.031153639350334803,0.47753642352422077,0.2505924385070801,0.9977534238497416,0.013529739958047867,0.6604565466245016,0.09428706264893214,0.9504252400398254,lstm,cw,2.0
240000,120000,0.5,105.08778704622912,6.296419291308887e-10,0.12676347035545624,0.0037621484200159707,,,0.024326341275374096,0.1353160996635755,0.024326341275374096,0.1353160996635755,0.011208630189796289,0.1353160996635755,0.15543435148398083,0.4033583347002665,0.25374687932332357,0.9965214241345723,0.054938602167367935,0.5463575636545817,0.14552179198265075,0.7996160365740458,lstm,cw,6.0
240000,120000,0.5,105.70093377656013,7.631018454377243e-10,0.08135023150452893,0.0009402231772740682,,,0.054967883453766506,0.10271379842360814,0.054967883453766506,0.10271379842360814,0.024875131430228552,0.10271379842360814,0.3017604326883952,0.3803956718444824,0.25669250831604,0.9971649196942647,0.06853342048724492,0.5213140908082327,0.1910949973344803,0.7144566884040833,lstm,cw,10.0
240000,630,0.002625,57.25503285198921,5.343405919786216e-10,0.6144824145165988,2.918837012736003,,,0.005777033992608388,0.9888222028414408,0.005777033992608388,0.9888222028414408,0.0011716254327446222,0.9888222028414408,0.011925130194922287,0.9933234950701396,0.2571426577885946,0.9994658672014872,0.003766323052595059,0.8734681396484375,0.08723357850313186,0.9979147559801738,lstm,barrage,-10.0
240000,1219,0.005079166666666667,66.67122157612303,5.34580288682429e-10,0.5219212081823995,2.889121418253581,,,0.006266891480733951,0.965327463944753,0.006266891480733951,0.965327463944753,0.0011217830582211416,0.965327463944753,0.01055689829836289,0.976775053024292,0.25654001642862956,0.9988949567476908,0.0048563784420490265,0.7880322917302449,0.08712501683235169,0.994782355149587,lstm,barrage,-6.0
240000,4141,0.017254166666666668,77.74918931844682,5.352287182970021e-10,0.3860681223571663,2.7594863627115886,,,0.007539398290465275,0.8875551687876383,0.007539398290465275,0.8875551687876383,0.0010514473194877306,0.8875551687876383,0.008017133541405201,0.9170678572654725,0.2554937111536662,0.9979885524113973,0.007601176201055447,0.6861656924883525,0.08724428617954254,0.9866973627408345,lstm,barrage,-2.0
