doppler_max,dcsk,matched_filter,energy_detector
0.0,0.28,0.06,0.5
0.00027272727272727274,0.28,0.06,0.5
0.0005454545454545455,0.28,0.06,0.5
0.0008181818181818182,0.28,0.0675,0.5
0.001090909090909091,0.305,0.09,0.5
0.0013636363636363637,0.305,0.1225,0.5
0.0016363636363636363,0.3,0.1525,0.5
0.0019090909090909091,0.3225,0.1775,0.5
0.002181818181818182,0.3325,0.2225,0.5
0.0024545454545454545,0.345,0.2725,0.5
0.0027272727272727275,0.36,0.3225,0.5
0.003,0.3525,0.3725,0.5
