n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,pool_projection_energy,pool_projection_cos,attn_weights_energy,attn_weights_cos,attn_pool_energy,attn_pool_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,ber_std,margin_mean_std,realization,n_realizations
240000.0,512.0,0.0021333333333333334,47.01676396425389,5.340479608388325e-10,0.6975550923224221,2.856604934692383,4.460575237502058,0.03039979474544525,0.007367193984240294,1.0,0.0068998678969840205,1.0,0.019791212217013042,1.0,0.00013236613223950068,,0.01110664975196123,1.0,0.2509290058453878,1.0,0.003040807604479293,1.0,0.0752040615995725,1.0,conv1d,clean,,,,,
240000.0,3456.8,0.014403333333333334,56.59909385699517,5.342083536857236e-10,0.617480661246177,2.758197586975098,4.460675424346572,0.03108531176884969,0.008105514190246662,0.9972597303708394,0.007414729840109745,0.9905308821678162,0.02010974103351434,0.9876929591178895,0.00013253641362767667,,0.01071961880425612,0.9903065141995748,0.25140235646406806,0.9880409366925559,0.0037805164329707624,0.894171955426534,0.07555100229819615,0.9865598273913065,conv1d,cw,-10.0,0.008601405085475538,0.07262964253349173,2.0,5.0
240000.0,24153.6,0.10064,64.18508901268834,5.346744843360586e-10,0.5432440485952952,2.248032032623291,4.462216675856448,0.03150505043983459,0.009220592326521875,0.9897438414255777,0.008297986041307449,0.9614799132664998,0.02140167673736811,0.9485176836013794,0.00013233040808700028,,0.01114715059618155,0.9490778354326883,0.2515499544636409,0.9807078831036886,0.004897238266691565,0.8282306956609091,0.07620018200794856,0.9752636392275491,conv1d,cw,-6.0,0.06592743046335114,0.4005223819841919,2.0,5.0
240000.0,78029.4,0.3251225,74.57007739956713,5.36860057000883e-10,0.4299708076689132,1.0323724565243722,4.465625771170653,0.031601113504568734,0.012035352437694867,0.9695646365165711,0.010895012794435024,0.8826708594957988,0.02744650736639897,0.8333436804612477,0.0001315595450097074,,0.01545921754539013,0.8088380618254343,0.2501768167114258,0.963290994008382,0.007701360996713241,0.7484893709182739,0.07825172199408215,0.9453311758359273,conv1d,cw,-2.0,0.16723302647221197,0.9182282865769006,2.0,5.0
240000.0,97745.0,0.4072708333333333,87.06448777610187,5.433059215244247e-10,0.2874648343036267,0.49614070656418807,4.461451829290825,0.03152769693454107,0.019158141544858613,0.9350882162729899,0.01852629372795423,0.7709291288852692,0.05029127267340818,0.6702466489315033,0.00013218484020636727,,0.03543165479714672,0.6499065905094147,0.23283648274739582,0.9082288580894471,0.0147434842517972,0.6650699465115866,0.08206504684845606,0.8544735885143279,conv1d,cw,2.0,0.18324415598154528,0.9801753759522258,2.0,5.0
240000.0,107830.4,0.4492933333333333,95.7614663778832,5.472941645552918e-10,0.16720013219038715,0.26916285880804064,4.425971448713182,0.03417346276760101,0.037195328252712885,0.8984557483990987,0.03978135322034359,0.6860797629992168,0.11922121870160103,0.5855598619461059,0.00014062974001513795,,0.10172088832666477,0.5812599880218505,0.19258721641381582,0.8242434459050496,0.03243009759187698,0.5887545147260029,0.09712025703986486,0.6924301440874735,conv1d,cw,6.0,0.10141333333333333,0.563821499825304,2.0,5.0
240000.0,118212.2,0.4925508333333333,104.72379231424902,5.582521302610117e-10,0.08203694546910624,0.0900519251513481,4.333022163634381,0.041619679352442415,0.08284017402410507,0.8717670735677083,0.09594015235702197,0.6404934865156809,0.30191069149454436,0.5462037399371464,0.00016562901673372834,,0.2879492393509547,0.5472120219071706,0.16808249928394953,0.7782800393104553,0.07685305742820105,0.5265377825260162,0.16209023734966915,0.5368335688352583,conv1d,cw,10.0,0.014898333333333322,0.19691388294664655,2.0,5.0
240000.0,807.4,0.0033641666666666668,57.70606259734819,5.340876258343859e-10,0.6084565786653602,2.8379813075764977,4.459346115789296,0.031471258370081585,0.008108368954062462,0.9977362053553265,0.007355838386068741,0.9957969376881917,0.019887171322902044,0.9968839645703633,0.00013292629128011565,,0.010445662984748682,0.9971361648877461,0.2518148626391093,0.9889299849510194,0.0037626691158115866,0.8728479694366456,0.07558228143850962,0.9877770279884338,conv1d,barrage,-10.0,0.00010761298971571948,0.000356042018808741,2.0,5.0
240000.0,1551.6,0.006465000000000001,66.79717517716456,5.341336176477298e-10,0.516603611010745,2.7957189706420897,4.455294484098095,0.03278908113956452,0.009235154828329883,0.9934915042559306,0.008104201585253079,0.9864657724380492,0.020390471885204313,0.9904039417902629,0.00013419785175006836,,0.009812734278440476,0.9903771400133771,0.2521286817677816,0.9840691876093548,0.004854891304075718,0.7872440984725952,0.07596865597248079,0.9802850979487102,conv1d,barrage,-6.0,0.0001353134221805886,0.00044331322452152916,2.0,5.0
240000.0,5426.0,0.022608333333333334,77.86419448964459,5.343852468760789e-10,0.3817097875064203,2.621799154663086,4.440866654128099,0.03586233774423599,0.01208593590428432,0.9836073735555013,0.010150845893820126,0.9591338945070902,0.022653740906914074,0.9688305924415588,0.0001384233495639637,,0.009419126365780829,0.9638094774246216,0.25188115024248764,0.9787894654591878,0.007598926385988791,0.6860972866535187,0.07698463198184965,0.967847976366679,conv1d,barrage,-2.0,0.00018534877034031452,0.00038223704717517415,2.0,5.0
