n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,pool_projection_energy,pool_projection_cos,attn_weights_energy,attn_weights_cos,attn_pool_energy,attn_pool_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,3385,0.014104166666666666,55.85539483769382,5.340450649378586e-10,0.6248657765229723,2.7748833872477214,4.461934885774039,0.031142760058244068,0.00811532668247819,0.9967157009442648,0.007236071484039227,0.9890614077250163,0.01752609090904395,0.9892748575210571,0.00013226201126041511,,0.009533594946563244,0.9892608030637106,0.25367807621955873,0.9893577556610107,0.0036916979396094877,0.9075950716336568,0.07581949338515599,0.987600697517395,conv1d,cw,-10.0,0
240000,24360,0.1015,62.79825216208632,5.348056612444058e-10,0.559268622456084,2.261578756713867,4.466471787095963,0.031226746662457783,0.009248290664951007,0.9875934658050537,0.007915630833556255,0.9524687911669413,0.015551976207395395,0.9464646031061809,0.0001313348289191102,,0.008813178141911824,0.9415122833251953,0.2565510653972626,0.9841633313496908,0.00466533141049246,0.849376594543457,0.07685101044575374,0.9777026894887288,conv1d,cw,-6.0,0
240000,94529,0.39387083333333334,73.6052055492389,5.394683072896027e-10,0.44803976591201683,0.654054648844401,4.477359379096012,0.030525702714920045,0.012119306914508342,0.9630763160387675,0.010240235161781311,0.8480128002166748,0.015316746027270952,0.7568094334602355,0.0001289423527739321,,0.011063969423373541,0.7518541793028514,0.2609274479866028,0.9632692743937175,0.007104882461329301,0.776332479317983,0.07978341039419175,0.9443304804166158,conv1d,cw,-2.0,0
240000,119814,0.499225,88.57974461669832,5.538973939288955e-10,0.29126281468049015,0.014496206442515055,4.49096310089852,0.02913057420651118,0.019419984909892083,0.9212490057945252,0.017871373071273167,0.7075765182971955,0.02595439150929451,0.489228401184082,0.00012588694075820966,,0.024095112990339597,0.5638422401746114,0.23706018707752227,0.8643145074844361,0.013223080898324649,0.6962006100018819,0.07939658104976018,0.8185939257144927,conv1d,cw,2.0,0
240000,120000,0.5,94.98316886797953,5.526377940369372e-10,0.16673269766429766,-0.0032213767091433206,4.4971430861022155,0.028589287745952607,0.03797792888879776,0.8769173084894816,0.040262049277623495,0.6191427659988403,0.06544463266134262,0.41807199295361835,0.00012442099382169543,,0.06289630360404651,0.5280951196352641,0.16186916102568308,0.7057328983147939,0.028575963977972667,0.6188106152216594,0.07583264408508937,0.601424498240153,conv1d,cw,6.0,0
240000,120000,0.5,101.64925398697353,5.549592338956886e-10,0.08232435635885711,-0.003130474364757538,4.479745655505519,0.030506530706087748,0.08500892844597499,0.8446495447158814,0.10022470741271973,0.5838945185343425,0.16992249813079835,0.40829494762420654,0.00012842543319178124,,0.15912836088339488,0.5218182364304861,0.11585947484970092,0.6311388344764709,0.06711635673046112,0.5521173470020294,0.10680061993201574,0.43255562929312386,conv1d,cw,10.0,0
240000,2136,0.0089,53.63472643952325,5.340992088045181e-10,0.64497302221618,2.809413569132487,4.462233904932449,0.030693491784731547,0.008112774583200614,0.99678404823939,0.007263842737426361,0.9903154509862264,0.017767142318685848,0.9913688206672668,0.00013207737566748012,,0.009622436072429021,0.992455310344696,0.25269768993059794,0.9910649657249451,0.0035756337138513725,0.9136678876876831,0.07551751463810603,0.9897148148218791,conv1d,cw,-10.0,1
240000,14818,0.06174166666666667,59.61446976945905,5.345821982043818e-10,0.5911762636374055,2.4865742360432943,4.46708044708496,0.03047157392501831,0.009241062133510907,0.9874194223086039,0.007933540043234825,0.958002558708191,0.015770404851436614,0.958829170703888,0.00013099695386675498,,0.008684282457828521,0.9602711702982585,0.2545702851613363,0.9862444704373677,0.004384493881339828,0.8558185243606568,0.07613373198906581,0.9811669874191284,conv1d,cw,-6.0,1
240000,76864,0.32026666666666664,69.20265363287726,5.381603009306849e-10,0.49239724810177027,1.0623716761271158,4.479069234429398,0.0297048525651296,0.012098549444476763,0.9614517431259155,0.010085454173882803,0.8634856150945027,0.014483969051142534,0.8103344825108846,0.00012832311297145983,,0.009596847088634968,0.8082187892595927,0.2574148916244507,0.969552431265513,0.006416413079202175,0.7817707236607869,0.07807918968200683,0.954258215268453,conv1d,cw,-2.0,1
240000,119305,0.4971041666666667,83.25927995831427,5.479735169732032e-10,0.33774475037622026,0.03866890333890915,4.492487182499064,0.02871143692334493,0.019364336768786114,0.9157661863962809,0.01691516389946143,0.7244469730854034,0.02071686677932739,0.5224334656397501,0.0001254025568603538,,0.017864166707793873,0.5862764698664348,0.24006426589488983,0.8933536616961161,0.011520607976118723,0.6993981294631958,0.07774431581099828,0.8563808134396871,conv1d,cw,2.0,1
240000,120000,0.5,92.28486723920862,5.519995421209998e-10,0.19969571349112264,0.0029128884434700014,4.488599237174181,0.029391228119532268,0.037848215891917544,0.8654969997406006,0.036771680229902265,0.621923048098882,0.048112655607859295,0.4168954888979594,0.00012638667804421857,,0.044366838012139004,0.5260347346464793,0.1742933960914612,0.7423449534575145,0.024342153628667196,0.6195170605977376,0.072264881559213,0.6585518531799316,conv1d,cw,6.0,1
240000,120000,0.5,97.55458901030036,5.653645523907635e-10,0.09903796281240049,0.0009076568682988485,4.443550048716025,0.034543991843859354,0.08477267614603043,0.8273179756800334,0.09024269732236863,0.5712238568464915,0.12382136024236678,0.4022929958899816,0.00013779974619392306,,0.11370465770165125,0.5147371545632681,0.12667494332393012,0.6529899614651998,0.05654903482198715,0.550866704305013,0.092434577079614,0.4838024338086446,conv1d,cw,10.0,1
240000,541,0.0022541666666666665,55.76451114097357,5.341183690636822e-10,0.6265338996504841,2.851311833190918,4.4640238979379925,0.03057976095676422,0.008112136925011873,0.9977854542732238,0.007244763244191805,0.9958036422729493,0.019150511068105697,0.9984327673912048,0.0001316920870449394,,0.010363699752092361,0.9982824748357138,0.2509138958454132,0.9918414522806803,0.0037060296124468246,0.8917619307835897,0.0752804538567861,0.9907030855814616,conv1d,cw,-10.0,2
240000,661,0.0027541666666666665,63.99219655412854,5.340400617084515e-10,0.5457930115794161,2.838929054260254,4.468327931629381,0.030627061518033346,0.009236113429069518,0.9915216498374939,0.0077920936291416484,0.9825235884984335,0.018368047350645067,0.9937015317281087,0.0001308232650704061,,0.009505259416500727,0.9930845293998718,0.25097245577176414,0.9886847947438558,0.0047134544273217515,0.8225158476829528,0.07549429926474889,0.9850012029012044,conv1d,cw,-6.0,2
240000,1452,0.00605,74.92508007135409,5.340565534508246e-10,0.4212479186980779,2.7830781382242837,4.476212689178761,0.03045947713851929,0.012070432411630949,0.9739315118789673,0.009306868470211824,0.9364619181950887,0.01722787086168925,0.968141765276591,0.00012917867990521094,,0.00835282283872366,0.9672053322792054,0.2504652314821879,0.9851439142227173,0.007244976444542408,0.7389052596092224,0.07613043206135432,0.9744520196914673,conv1d,cw,-2.0,2
240000,9789,0.0407875,86.70152922600583,5.346341791989049e-10,0.2776839448404689,2.456059272257487,4.485460640622491,0.03037343972524007,0.01923711740076542,0.9426823018391927,0.013589564473430316,0.8422346464792887,0.01716211540798346,0.8619652309417725,0.00012741160517713675,,0.008315708860506614,0.8726769781112671,0.24935403830210368,0.9815533650716146,0.013605434208114942,0.6528403897285462,0.07858062465190888,0.9533156636555989,conv1d,cw,2.0,2
240000,59152,0.24646666666666667,98.81107439279441,5.371875086969258e-10,0.15544342640029452,1.3965759704589844,4.479228925515299,0.03166078803141912,0.03738778584400813,0.9086489898363749,0.025424701477090517,0.7390656439463298,0.02244575420419375,0.6785119202931722,0.0001294606068947663,,0.013152595264216265,0.7152714284261068,0.24843158779144286,0.9763840271631876,0.029584656557440758,0.5761930940151214,0.08665316628615062,0.908903930346171,conv1d,cw,6.0,2
240000,111061,0.4627541666666667,113.74260124009545,5.496018027864038e-10,0.07793448720945298,0.4836583695729574,4.434290173209002,0.03417055984338124,0.08336442885796229,0.8836807840665182,0.05720887920657794,0.6663697009086609,0.04303836080431938,0.5354354682763418,0.0001395362307705606,,0.03265595821936925,0.5898048717180888,0.24140530777772268,0.9549377479553223,0.06972657122214636,0.51579105869929,0.10767775892019271,0.809717635790507,conv1d,cw,10.0,2
240000,6553,0.027304166666666668,61.04035779599859,5.343001764048121e-10,0.5747370690386778,2.647354044596354,4.46276966718305,0.031052161622047426,0.00810165645033121,0.9978493930498759,0.007713768945137659,0.989518470287323,0.02289709663291772,0.979957405090332,0.0001321277697182571,,0.01219193312774102,0.9840489543279012,0.24932539784113567,0.9844077806472779,0.004160551325728496,0.8653929564158122,0.07554627251227697,0.982260359287262,conv1d,cw,-10.0,3
240000,46812,0.19505,69.80369801247214,5.349244447547609e-10,0.4832238590620391,1.6841785115559895,4.466489758500576,0.031401936292648314,0.009207612702995539,0.9922551477750142,0.009027194675803185,0.9606846219698588,0.028285132802526158,0.920567795753479,0.0001313460987061262,,0.014829066001375516,0.9159371007283529,0.24654318675994874,0.9716635711987813,0.005854314820716779,0.7897814316749573,0.07624405846993128,0.9642389488220214,conv1d,cw,-6.0,3
240000,113201,0.4716708333333333,80.09979834280763,5.360516744620865e-10,0.36623036815729804,0.2230668140689532,4.470203374626143,0.030904630943139395,0.011989556632439296,0.9776783246994019,0.012612605579197406,0.8911805365880331,0.044290437175830207,0.8078354229927063,0.0001298475038105001,,0.025445724391937256,0.7369880472024282,0.23880002768039704,0.9460365567207336,0.010109346703688304,0.704977055867513,0.07890992652177811,0.9199688851038615,conv1d,cw,-2.0,3
