snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db
15.0,15250,40000,0.38125,0.06835119326473611,conv1d,barrage,10.0
21.0,15395,40000,0.384875,0.07483350013330851,conv1d,barrage,10.0
-1.0,1235,40000,0.030875,0.35037648356329865,conv1d,partial_band,-10.0
3.0,523,40000,0.013075,0.49383203137820625,conv1d,partial_band,-10.0
7.0,281,40000,0.007025,0.5971839362592438,conv1d,partial_band,-10.0
11.0,222,40000,0.00555,0.6513034088064682,conv1d,partial_band,-10.0
15.0,250,40000,0.00625,0.6714993002039591,conv1d,partial_band,-10.0
21.0,212,40000,0.0053,0.6761743699805898,conv1d,partial_band,-10.0
-1.0,4524,40000,0.1131,0.3165232348105936,conv1d,partial_band,-6.0
3.0,3687,40000,0.092175,0.4281504038434102,conv1d,partial_band,-6.0
7.0,3140,40000,0.0785,0.49310866013020205,conv1d,partial_band,-6.0
11.0,2911,40000,0.072775,0.5215730363197543,conv1d,partial_band,-6.0
15.0,2906,40000,0.07265,0.5366177307790694,conv1d,partial_band,-6.0
21.0,2818,40000,0.07045,0.5412481372702611,conv1d,partial_band,-6.0
-1.0,10336,40000,0.2584,0.2549502782530151,conv1d,partial_band,-2.0
3.0,10154,40000,0.25385,0.3242048611109644,conv1d,partial_band,-2.0
7.0,9820,40000,0.2455,0.3519774823249643,conv1d,partial_band,-2.0
11.0,9755,40000,0.243875,0.361796266766334,conv1d,partial_band,-2.0
15.0,9683,40000,0.242075,0.3676881303274056,conv1d,partial_band,-2.0
21.0,9720,40000,0.243,0.36978550751352185,conv1d,partial_band,-2.0
-1.0,19803,40000,0.495075,0.17706189905256917,conv1d,partial_band,2.0
3.0,19925,40000,0.498125,0.20446484869180176,conv1d,partial_band,2.0
7.0,19947,40000,0.498675,0.2288209656041591,conv1d,partial_band,2.0
11.0,19961,40000,0.499025,0.2270492404005562,conv1d,partial_band,2.0
15.0,19947,40000,0.498675,0.23291773346460215,conv1d,partial_band,2.0
21.0,19947,40000,0.498675,0.23744485939930685,conv1d,partial_band,2.0
-1.0,20000,40000,0.5,0.09520957350326031,conv1d,partial_band,6.0
3.0,20000,40000,0.5,0.1133320911625616,conv1d,partial_band,6.0
7.0,20000,40000,0.5,0.11961131973056041,conv1d,partial_band,6.0
11.0,20000,40000,0.5,0.118146639016263,conv1d,partial_band,6.0
15.0,20000,40000,0.5,0.11617277490376579,conv1d,partial_band,6.0
21.0,20000,40000,0.5,0.12100388337281133,conv1d,partial_band,6.0
-1.0,18367,40000,0.459175,0.062365176637897916,conv1d,partial_band,10.0
3.0,18250,40000,0.45625,0.07126099130120189,conv1d,partial_band,10.0
7.0,18172,40000,0.4543,0.06995692237857552,conv1d,partial_band,10.0
11.0,18209,40000,0.455225,0.06754011835793962,conv1d,partial_band,10.0
15.0,18183,40000,0.454575,0.07452755433128172,conv1d,partial_band,10.0
21.0,18133,40000,0.453325,0.06566978489089188,conv1d,partial_band,10.0
