comm_loss,loss,sensing_loss,val_comm_loss,val_loss,val_sensing_loss,learning_rate
0.5260180234909058,0.7095557451248169,0.09165224432945251,0.30761435627937317,0.47743654251098633,0.08490605652332306,0.00033333332976326346
0.29291924834251404,0.4610747992992401,0.08405951410531998,0.2576923668384552,0.42845800518989563,0.08538100868463516,0.0006666666595265269
0.27257195115089417,0.4402882754802704,0.08386824280023575,0.2744879126548767,0.44443508982658386,0.08496901392936707,0.0010000000474974513
0.26293548941612244,0.43014344573020935,0.0835980474948883,0.2584148645401001,0.42947471141815186,0.08552924543619156,0.0010000000474974513
0.2576006054878235,0.42466700077056885,0.08352995663881302,0.27699553966522217,0.4480258822441101,0.08551051467657089,0.0009969573002308607
0.25649207830429077,0.4235323965549469,0.08351247757673264,0.2533469498157501,0.4220978319644928,0.08437421172857285,0.0009878701530396938
0.2531726062297821,0.4201771318912506,0.08351191878318787,0.25076213479042053,0.41899603605270386,0.08411497622728348,0.0009728616569191217
0.2500006854534149,0.41694414615631104,0.08348160982131958,0.2543143928050995,0.4223911762237549,0.08403649926185608,0.0009521346655674279
0.24699188768863678,0.4136768579483032,0.08335905522108078,0.24934157729148865,0.41748636960983276,0.08407073467969894,0.0009259695070795715
0.24756623804569244,0.4143628478050232,0.08341621607542038,0.24659796059131622,0.4168977737426758,0.08514872193336487,0.0008947200258262455
0.24474821984767914,0.41140657663345337,0.08331980556249619,0.2459922879934311,0.41434040665626526,0.0841727927327156,0.0008588087512180209
0.24338573217391968,0.410002201795578,0.08330345153808594,0.24276727437973022,0.41117197275161743,0.08420086652040482,0.0008187213679775596
0.2419130653142929,0.4085046947002411,0.08328864723443985,0.24667227268218994,0.4154679775238037,0.08439633250236511,0.0007750000222586095
0.2423497885465622,0.4088548421859741,0.08324796706438065,0.24223999679088593,0.4107130169868469,0.08423543721437454,0.000728235871065408
0.24122099578380585,0.4077424108982086,0.08325612545013428,0.24278423190116882,0.4112177789211273,0.08421534299850464,0.0006790614570491016
0.23966075479984283,0.406095027923584,0.08319730311632156,0.2465573102235794,0.41512200236320496,0.08428078144788742,0.0006281416863203049
0.2384151816368103,0.4048306941986084,0.08320985734462738,0.24194595217704773,0.41002407670021057,0.08403783291578293,0.0005761651555076241
0.23753444850444794,0.4038611948490143,0.08317625522613525,0.24733760952949524,0.4157390296459198,0.08419875055551529,0.0005238348385319114
0.23665742576122284,0.4029404819011688,0.08312571048736572,0.2637551724910736,0.43189746141433716,0.08406722545623779,0.00047185830771923065
0.23604276776313782,0.40227454900741577,0.08311019837856293,0.24838745594024658,0.4165118634700775,0.08406025916337967,0.00042093853699043393
0.23519714176654816,0.4013007879257202,0.08305780589580536,0.24554049968719482,0.4136490523815155,0.08405251801013947,0.0003717640938702971
0.23454873263835907,0.4005972146987915,0.0830007791519165,0.24729467928409576,0.41578009724617004,0.08424144238233566,0.00032500000088475645
0.23371398448944092,0.3997062146663666,0.08299262821674347,0.24335622787475586,0.4117303192615509,0.08418560773134232,0.00028127862606197596
0.2332421839237213,0.39913439750671387,0.08294377475976944,0.2383413016796112,0.4065191149711609,0.08408797532320023,0.00024119125737342983
0.23240061104297638,0.39822086691856384,0.08291023969650269,0.23797108232975006,0.4063517153263092,0.0841892808675766,0.00020527999731712043
0.23128102719783783,0.3970881998538971,0.08290346711874008,0.23811912536621094,0.40650591254234314,0.08419249951839447,0.00017403048695996404
0.23103302717208862,0.3967463970184326,0.08286451548337936,0.2402423769235611,0.4085592031478882,0.08415728807449341,0.00014786531392019242
0.2303885668516159,0.3961005210876465,0.08283992856740952,0.23801811039447784,0.40644651651382446,0.08421310782432556,0.00012713832256849855
0.230129674077034,0.39575672149658203,0.08281155675649643,0.23803912103176117,0.40645626187324524,0.084207683801651,0.00011212980462005362
0.22992748022079468,0.3955579996109009,0.08281620591878891,0.23785829544067383,0.40627482533454895,0.08420713990926743,0.0001030427374644205
