arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
qkv,fh_off,omniscient,barrage,partial_band,2.0,0.39898,0.11151716011448641,0.049871990134743964,0.30123269549856496,0.49672730450143504,0.2642,0.4943,0.26958,0.4724,0.49002,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,partial_band,6.0,0.49015000000000003,0.012820735158328479,0.005733607067108801,0.4789123366469625,0.5013876633530376,0.47115,0.50015,0.47344,0.4973,0.50003,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,partial_band,10.0,0.50008,0.0018019433953373664,0.0008058535847162258,0.49850055599714366,0.5016594440028562,0.4973,0.5022,0.49778,0.5004,0.50192,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,partial_band,-10.0,0.00208,0.0022816112727631764,0.0010203675808256553,8.011629058945298e-05,0.004079883709410547,0.0005,0.0061,0.00059,0.0013,0.005189999999999999,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,partial_band,-6.0,0.02415,0.025109186565876643,0.011229169604204935,0.0021412319994664405,0.04615876800053356,0.00565,0.0671,0.00583,0.0198,0.05801,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,partial_band,-2.0,0.17221,0.12112989102612122,0.05417093408830976,0.06603692017801979,0.2783830798219802,0.0517,0.3411,0.052700000000000004,0.2009,0.31501,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,partial_band,2.0,0.39898,0.11151716011448641,0.049871990134743964,0.30123269549856496,0.49672730450143504,0.2642,0.4943,0.26958,0.4724,0.49002,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,partial_band,6.0,0.49015000000000003,0.012820735158328479,0.005733607067108801,0.4789123366469625,0.5013876633530376,0.47115,0.50015,0.47344,0.4973,0.50003,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,partial_band,10.0,0.50008,0.0018019433953373664,0.0008058535847162258,0.49850055599714366,0.5016594440028562,0.4973,0.5022,0.49778,0.5004,0.50192,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,partial_band,-10.0,0.0018100000000000002,0.0019252921856175494,0.0008610168407179967,0.0001224380021102667,0.0034975619978897337,0.00035,0.00515,0.00043,0.0012,0.0044399999999999995,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,partial_band,-6.0,0.02329,0.023713482451972336,0.010604991749171707,0.0025045981152790296,0.04407540188472098,0.0045,0.06275,0.0046,0.02115,0.05481,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,partial_band,-2.0,0.17168999999999998,0.12205717615117924,0.05458562860314058,0.06470413386436503,0.27867586613563494,0.04885,0.3424,0.050539999999999995,0.19935,0.31603,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,partial_band,2.0,0.40037,0.1088026286447161,0.0486580147560502,0.3050020435189231,0.4957379564810769,0.26895,0.49355,0.27417,0.47135,0.48943,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,partial_band,6.0,0.48986999999999997,0.013003297658671054,0.005815251499290466,0.4784723165003481,0.5012676834996518,0.47145,0.50025,0.47333,0.4973,0.5001,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,partial_band,10.0,0.50012,0.0018088670487351902,0.000808949936646262,0.4985344872588774,0.5017055127411226,0.4973,0.5021,0.49778,0.5004,0.5019,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
