channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_d,conv1d,-5.0,0.45025,1801,4000,0.43488707304810303,0.4657083915592224,103.87946550062605,0.013870278096192002,5.433367894085454e-10,-0.01862096338688575
b_tdl_d,conv1d,-3.0,0.4705,1882,4000,0.4550678162627672,0.48598879089132524,101.89326566510286,-0.012484426934054691,5.108515343436105e-10,0.005059581808236139
b_tdl_d,conv1d,-1.0,0.49375,1975,4000,0.47826976456665643,0.509242228474465,101.74007578508906,0.014493648903822026,5.554514189154399e-10,-0.03297265576072574
b_tdl_d,conv1d,1.0,0.4835,1934,4000,0.4680368171310886,0.49899484449747167,105.53111689273614,-0.028603242891673833,5.265529119481292e-10,0.000698641238672956
b_tdl_d,conv1d,3.0,0.48875,1955,4000,0.4732772699330175,0.5042443175410009,109.04948445792745,-0.024110532608974673,5.513711171754233e-10,0.009032087776640383
b_tdl_d,conv1d,5.0,0.49075,1963,4000,0.47527408202579485,0.5062436676750648,106.15859272753671,-0.011094614224301266,5.135038797513107e-10,-0.014165822430593129
b_tdl_d,conv1d,7.0,0.49175,1967,4000,0.4762725809590199,0.5072432498552603,110.96862629293928,-0.014742872356235667,5.210808806836204e-10,-0.0007992125102010857
b_tdl_d,conv1d,9.0,0.49825,1993,4000,0.48276433299909954,0.5137390250524145,104.7673783629335,-0.005608764548960593,4.98159350607251e-10,-0.022023085695993278
b_tdl_d,conv1d,11.0,0.49325,1973,4000,0.4777704454488681,0.5087425070355431,113.34126582118311,-0.030948116725316076,5.647205562948842e-10,0.011226259753461927
b_tdl_d,conv1d,13.0,0.5005,2002,4000,0.48501208721813877,0.5159869533385715,121.58041433626006,-0.0004054713539562965,5.106211326783808e-10,0.015166285024743247
b_tdl_d,conv1d,15.0,0.4925,1970,4000,0.47702149579140923,0.5079928958579363,114.41603055153097,-0.0012980734803151668,5.153971818501949e-10,0.016861216157595706
b_tdl_d,conv1d,17.0,0.49325,1973,4000,0.4777704454488681,0.5087425070355431,123.10639998254705,-0.006992061761165487,5.38563729213192e-10,-0.006432362967831793
b_tdl_d,conv1d,19.0,0.4855,1942,4000,0.47003297871889693,0.5009948451365045,127.6622559371575,-0.03360984944867131,5.534534869818668e-10,0.007279203215540446
b_tdl_d,conv1d,21.0,0.49575,1983,4000,0.4802671957945648,0.5112409594733979,120.65904645369548,0.010832936903030613,5.364230210852959e-10,-0.03313006744075888
