jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.03149367180473088,0.01131379545722641,0.011692773670913021,0.043927468338301814,59.563233595539955,2.895945292492621,5.310203023486213e-10,4.5206860862532775e-13,5
-8.0,0.06726347219276346,0.03152079021421365,0.012174240305805382,0.10340357497165534,64.12635387825017,4.252670467895119,5.330537817077635e-10,2.1038645456014312e-12,5
-6.0,0.14640846870103935,0.07594218431825314,0.012756150097909572,0.22842261904761907,68.45945104859467,4.39094208973968,5.316944919450764e-10,9.548174290327794e-13,5
-4.0,0.265266956277435,0.13373512848907945,0.014057995672889215,0.38392857142857145,73.58202140984666,5.09279592293458,5.35168574279229e-10,2.337049957866463e-12,5
-2.0,0.36475978966070044,0.17627186470860398,0.014926180446359242,0.47572544642857145,78.79581340987457,5.695794918946119,5.444083232418237e-10,6.5926121491950924e-12,5
0.0,0.39799966247354723,0.19053014283759517,0.01734206236773612,0.5072544642857143,85.23122341829773,6.305867283059978,5.505521865978538e-10,1.1367274436292821e-11,5
2.0,0.40376243727926636,0.19172498116116,0.02076531139633182,0.5103236607142857,93.29066533768469,9.050288941654474,5.635105401337866e-10,2.494463898523965e-11,5
4.0,0.40544352058120686,0.18933825175262806,0.027217602906034224,0.5103236607142857,107.29705678289929,18.882103739670885,5.895910407570179e-10,5.043971337240672e-11,5
6.0,0.40970184292136225,0.18083221799123175,0.04850921460681085,0.5103236607142857,143.02465280378522,54.4779574023989,6.434156213502569e-10,9.967107958527953e-11,5
8.0,0.4187835747461864,0.16269509304360766,0.09391787373093176,0.5103236607142857,188.13700636787343,99.08755603641195,7.725036431020648e-10,2.334227457577905e-10,5
10.0,0.43301312712585033,0.13429157429364247,0.16506563562925172,0.5103236607142857,211.75409891018126,117.87964534273475,9.607077498107016e-10,3.866578800789695e-10,5
