jsr_db,realization,ber,mse_tau,mse_fd
-10.0,0,0.013779776880123681,60.76150922686152,5.313451876335535e-10
-8.0,0,0.01610923866439436,65.24820027775777,5.315810611976684e-10
-6.0,0,0.019865710766327736,70.27328876083075,5.311539855962584e-10
-4.0,0,0.027662298060796876,75.71282177989939,5.320499847904445e-10
-2.0,0,0.042460145668356195,80.8930883911027,5.333318427280395e-10
0.0,0,0.07562767294417769,86.52004343078661,5.355721930821428e-10
2.0,0,0.13333864795918365,90.65733462527253,5.362352894093728e-10
4.0,0,0.20441778273809527,92.52623392484021,5.389604616531532e-10
6.0,0,0.2844122023809524,96.16146812548517,5.61156643518783e-10
8.0,0,0.35398065476190477,103.09874272796435,6.069574509788845e-10
10.0,0,0.4134114583333333,118.00184241078996,7.262534990979141e-10
-10.0,1,0.013559571616641758,60.672317803819574,5.305090393706833e-10
-8.0,1,0.015032306650775032,64.97635549852941,5.310591592974003e-10
-6.0,1,0.0188372597478066,69.9084731197175,5.314881175906693e-10
-4.0,1,0.026088937258148,75.07645995439738,5.312599354692017e-10
-2.0,1,0.04132690290997006,80.33262111965458,5.319344912526033e-10
0.0,1,0.07224438980636114,85.46365647250143,5.346069682707404e-10
2.0,1,0.12760527388038548,90.28750664667687,5.358531708193554e-10
4.0,1,0.21061197916666666,92.39052675754623,5.366714983409699e-10
6.0,1,0.28445870535714285,95.62881893827712,5.573074417039668e-10
8.0,1,0.3471912202380953,102.72130440828195,6.050874253617127e-10
10.0,1,0.3997395833333333,117.99792884565818,7.236517541838659e-10
-10.0,2,0.013239023082980042,61.143111324766195,5.311261744627844e-10
-8.0,2,0.0153248811801511,65.64638199899612,5.313019233064164e-10
-6.0,2,0.018804191649515082,70.68155171277218,5.313437401539029e-10
-4.0,2,0.026511162581375,76.06711066457343,5.316380804280305e-10
-2.0,2,0.043972498018264326,81.64496651982077,5.328786176766845e-10
0.0,2,0.07610014458507763,87.09930960993415,5.350935120052364e-10
2.0,2,0.13364888924319726,91.90359404489651,5.350019926960756e-10
4.0,2,0.21161644345238093,95.38715964302749,5.415216883309769e-10
6.0,2,0.29613095238095244,98.85522214800199,5.615222311947069e-10
8.0,2,0.35928199404761907,106.45581061000509,6.12459510998904e-10
10.0,2,0.4183407738095238,123.08129095460697,7.287602085292104e-10
-10.0,3,0.013464460136737407,60.794345825911236,5.311115452831938e-10
-8.0,3,0.015251196697171784,65.17511786125762,5.312086050411138e-10
-6.0,3,0.018201910125900823,70.16094748690756,5.312373546656201e-10
-4.0,3,0.02695644728607396,75.3778508088924,5.311901736859892e-10
-2.0,3,0.042067917261729364,80.87601242527685,5.326256820384426e-10
0.0,3,0.07414893691851741,86.5348236726451,5.338896011418709e-10
2.0,3,0.13047849348072563,90.81253299488178,5.392723970485386e-10
4.0,3,0.20177641369047622,92.9481801970275,5.400337582145961e-10
6.0,3,0.2785528273809524,96.60969498294968,5.591549851646646e-10
8.0,3,0.345703125,104.77252682281637,6.112979978695925e-10
10.0,3,0.3968563988095238,118.65563199052625,7.194485499840982e-10
-10.0,4,0.013166381528545879,60.8767523309779,5.309628078585834e-10
-8.0,4,0.015578653923063627,65.2645310448078,5.313271614411699e-10
-6.0,4,0.019272783684216376,70.1617683554031,5.307368401061319e-10
-4.0,4,0.02634776780808221,75.45208303358064,5.310932096161422e-10
-2.0,4,0.04237461063663088,80.82125690728444,5.321411551135828e-10
0.0,4,0.07379053937912883,86.41881086031292,5.34077874551871e-10
2.0,4,0.12497076955782314,91.38805019628647,5.354792609346349e-10
4.0,4,0.19589843749999997,94.74977003118592,5.379938847500381e-10
6.0,4,0.2752046130952381,97.97966164830368,5.60878453188337e-10
8.0,4,0.34737723214285715,106.04766960403126,6.128961154581081e-10
10.0,4,0.39462425595238093,120.84634056124771,7.368453407047055e-10
