jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.013441842649005753,0.0002216239203610763,0.013166381528545879,0.013779776880123681,60.84960730246729,0.16070353557145656,5.310109509217597e-10,2.7904939674017184e-13,5
-8.0,0.01545925542311118,0.0003688805607645509,0.015032306650775032,0.01610923866439436,65.26211733626974,0.217755632803316,5.312955820567539e-10,1.708780449646258e-13,5
-6.0,0.018996371194753323,0.0005523717905751632,0.018201910125900823,0.019865710766327736,70.23720588712622,0.252315906636243,5.311920076225166e-10,2.5352844853827184e-13,5
-4.0,0.026713322598895212,0.0005520905853784077,0.026088937258148,0.027662298060796876,75.53726524826864,0.3336365546573067,5.314462767979615e-10,3.5389837590449757e-13,5
-2.0,0.04244041489899016,0.000863789514641808,0.04132690290997006,0.043972498018264326,80.91358907262786,0.42018906310624726,5.325823577618705e-10,5.03143207300962e-13,5
0.0,0.07438233672665254,0.001376752899986338,0.07224438980636114,0.07610014458507763,86.40732880923605,0.5288565535675782,5.346480298103723e-10,6.252214412300465e-13,5
2.0,0.13000841482426304,0.003338186240991486,0.12497076955782314,0.13364888924319726,91.00980370160283,0.5704024553873454,5.363684221815955e-10,1.5082450458172872e-12,5
4.0,0.2048642113095238,0.005809446907576739,0.19589843749999997,0.21161644345238093,93.60037411072547,1.2293557807573885,5.390362582579468e-10,1.6647369721170127e-12,5
6.0,0.2837518601190476,0.007131100622204601,0.2752046130952381,0.29613095238095244,97.04697316860354,1.1938312264043345,5.600039509540916e-10,1.5742003838815357e-12,5
8.0,0.35070684523809526,0.005152361878389238,0.345703125,0.35928199404761907,104.61921083461979,1.5067163667778605,6.097397001334404e-10,3.1360226909213985e-12,5
10.0,0.404594494047619,0.009482119912143792,0.39462425595238093,0.4183407738095238,119.71660695256583,1.9807744040726771,7.269918704999588e-10,5.810699582647848e-12,5
