k,dcsk,matched_filter,energy_detector
1,0.269,0.024,0.5
2,0.2765,0.034,0.5
3,0.2825,0.0385,0.5
4,0.2765,0.0435,0.5
5,0.293,0.056,0.5
6,0.298,0.0675,0.5
7,0.3115,0.076,0.5
8,0.3055,0.0935,0.5
9,0.3235,0.0975,0.5
10,0.3285,0.098,0.5
