arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
conv1d,fh_off_blind,band_agnostic,follower,partial_band,0.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_off_blind,band_agnostic,follower,partial_band,10.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_on,model,barrage,cw,-10.0,0,0.465,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_on,model,barrage,cw,0.0,0,0.4725,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_on,model,barrage,cw,10.0,0,0.5075,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_on,model,barrage,partial_band,-10.0,0,0.375,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_on,model,barrage,partial_band,0.0,0,0.4475,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_on,model,barrage,partial_band,10.0,0,0.4925,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_on,model,fixed_partial,cw,-10.0,0,0.5175,0.25,0.5125,100000.0,1,10.0,8
conv1d,fh_on,model,fixed_partial,cw,0.0,0,0.5225,0.25,0.5125,100000.0,1,10.0,8
conv1d,fh_on,model,fixed_partial,cw,10.0,0,0.53,0.25,0.5125,100000.0,1,10.0,8
conv1d,fh_on,model,fixed_partial,partial_band,-10.0,0,0.4875,0.25,0.5125,100000.0,1,10.0,8
conv1d,fh_on,model,fixed_partial,partial_band,0.0,0,0.4575,0.25,0.5125,100000.0,1,10.0,8
conv1d,fh_on,model,fixed_partial,partial_band,10.0,0,0.465,0.25,0.5125,100000.0,1,10.0,8
conv1d,fh_on,model,sweep,cw,-10.0,0,0.495,0.1475,0.495,100000.0,1,10.0,8
conv1d,fh_on,model,sweep,cw,0.0,0,0.495,0.1475,0.495,100000.0,1,10.0,8
conv1d,fh_on,model,sweep,cw,10.0,0,0.5025,0.1475,0.495,100000.0,1,10.0,8
conv1d,fh_on,model,sweep,partial_band,-10.0,0,0.4775,0.1475,0.495,100000.0,1,10.0,8
conv1d,fh_on,model,sweep,partial_band,0.0,0,0.48,0.1475,0.495,100000.0,1,10.0,8
conv1d,fh_on,model,sweep,partial_band,10.0,0,0.485,0.1475,0.495,100000.0,1,10.0,8
conv1d,fh_on,model,follower,cw,-10.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_on,model,follower,cw,0.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_on,model,follower,cw,10.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_on,model,follower,partial_band,-10.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_on,model,follower,partial_band,0.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
conv1d,fh_on,model,follower,partial_band,10.0,0,0.4675,0.0,0.4675,100000.0,1,10.0,8
