jammer,jsr_db,clean_trained,jam_aware,margin_mean_clean_trained,margin_mean_jam_aware
clean,,0.0021416666666666,0.0023541666666666,2.838339990234375,2.859842116292317
cw,-10.0,0.0028625,0.0034791666666666,2.824301645914713,2.8227946263631183
cw,-6.0,0.1191333333333333,0.0089125,2.124395087178548,2.691100215657552
cw,-2.0,0.3615625,0.00735,0.8340352963765463,2.774684538269043
cw,2.0,0.4992333333333333,0.0419708333333333,0.036947954471906,2.2878806531270346
cw,6.0,0.5,0.1559291666666666,0.0159892471591631,1.7880949544270834
cw,10.0,0.5,0.4999916666666666,0.0016305768171946,1.3293773577372232
barrage,-10.0,0.0035208333333333,0.0037666666666666,2.819062580362956,2.8383022603352863
barrage,-6.0,0.006725,0.0071041666666666,2.781015937805176,2.7928718149820964
barrage,-2.0,0.0228041666666666,0.0250958333333333,2.632792647298177,2.608921710205078
barrage,2.0,0.0898375,0.0982791666666666,2.1364753952026367,2.015545359039306
barrage,6.0,0.2391708333333333,0.2467708333333333,1.2706870844523113,1.080782634226481
barrage,10.0,0.3808458333333333,0.3830291666666666,0.6297928250630697,0.4237891127268473
partial_band,-10.0,0.0097,0.0054416666666666,2.773602089436849,2.788425703430176
partial_band,-6.0,0.078475,0.0124041666666666,2.352493559265137,2.644608807373047
partial_band,-2.0,0.2228833333333333,0.0127291666666666,1.5814318232218425,2.5058967412312825
partial_band,2.0,0.4988416666666667,0.1185583333333333,0.0429932476282119,1.985022784423828
partial_band,6.0,0.5000041666666667,0.1606083333333333,0.0307925287405649,1.842867463684082
partial_band,10.0,0.4795083333333333,0.1600916666666666,0.1852546162366867,1.49465505956014
