scenario,model,snr_db,ber,n_symbols
k3_doppler_full,lstm,15.0,0.000242,500000.0
k3_doppler_full,lstm,17.0,0.000246,500000.0
k3_doppler_full,lstm,19.0,0.000228,500000.0
k3_doppler_full,lstm,20.0,0.000238,500000.0
k3_doppler_full,mc_dlsk,-5.0,0.09364,100000.0
k3_doppler_full,mc_dlsk,-3.0,0.03321,100000.0
k3_doppler_full,mc_dlsk,-1.0,0.01008,100000.0
k3_doppler_full,mc_dlsk,1.0,0.00303,100000.0
k3_doppler_full,mc_dlsk,3.0,0.00141,100000.0
k3_doppler_full,mc_dlsk,5.0,0.00077,200000.0
k3_doppler_full,mc_dlsk,7.0,0.000575,200000.0
k3_doppler_full,mc_dlsk,9.0,0.0004633333333333,300000.0
k3_doppler_full,mc_dlsk,11.0,0.0004066666666666,300000.0
k3_doppler_full,mc_dlsk,13.0,0.0003833333333333,300000.0
k3_doppler_full,mc_dlsk,15.0,0.000335,400000.0
k3_doppler_full,mc_dlsk,17.0,0.00034,300000.0
k3_doppler_full,mc_dlsk,19.0,0.000325,400000.0
k3_doppler_full,mc_dlsk,20.0,0.000315,400000.0
k3_doppler_limited,conv1d,-5.0,0.11052,100000.0
k3_doppler_limited,conv1d,-3.0,0.03956,100000.0
k3_doppler_limited,conv1d,-1.0,0.01164,100000.0
k3_doppler_limited,conv1d,1.0,0.00423,100000.0
k3_doppler_limited,conv1d,3.0,0.0015,100000.0
k3_doppler_limited,conv1d,5.0,0.000655,200000.0
k3_doppler_limited,conv1d,7.0,0.00043,300000.0
k3_doppler_limited,conv1d,9.0,0.0002875,400000.0
k3_doppler_limited,conv1d,11.0,0.000222,500000.0
k3_doppler_limited,conv1d,13.0,0.0002016666666666,600000.0
k3_doppler_limited,conv1d,15.0,0.00019,600000.0
k3_doppler_limited,conv1d,17.0,0.0001733333333333,600000.0
k3_doppler_limited,conv1d,19.0,0.0001585714285714,700000.0
k3_doppler_limited,conv1d,20.0,0.00017,600000.0
k3_doppler_limited,qkv,-5.0,0.11257,100000.0
k3_doppler_limited,qkv,-3.0,0.04032,100000.0
k3_doppler_limited,qkv,-1.0,0.01062,100000.0
k3_doppler_limited,qkv,1.0,0.00332,100000.0
k3_doppler_limited,qkv,3.0,0.00119,100000.0
k3_doppler_limited,qkv,5.0,0.00051,200000.0
k3_doppler_limited,qkv,7.0,0.0002975,400000.0
k3_doppler_limited,qkv,9.0,0.000216,500000.0
k3_doppler_limited,qkv,11.0,0.0001571428571428,700000.0
k3_doppler_limited,qkv,13.0,0.0001375,800000.0
k3_doppler_limited,qkv,15.0,0.0001642857142857,700000.0
k3_doppler_limited,qkv,17.0,0.00012,900000.0
k3_doppler_limited,qkv,19.0,0.0001375,800000.0
k3_doppler_limited,qkv,20.0,0.00012,900000.0
k3_doppler_limited,lstm,-5.0,0.09083,100000.0
k3_doppler_limited,lstm,-3.0,0.02967,100000.0
k3_doppler_limited,lstm,-1.0,0.00818,100000.0
k3_doppler_limited,lstm,1.0,0.00243,100000.0
k3_doppler_limited,lstm,3.0,0.00103,100000.0
k3_doppler_limited,lstm,5.0,0.000605,200000.0
k3_doppler_limited,lstm,7.0,0.00042,300000.0
k3_doppler_limited,lstm,9.0,0.0003966666666666,300000.0
k3_doppler_limited,lstm,11.0,0.0003433333333333,300000.0
k3_doppler_limited,lstm,13.0,0.0002925,400000.0
k3_doppler_limited,lstm,15.0,0.00026,500000.0
k3_doppler_limited,lstm,17.0,0.000275,400000.0
k3_doppler_limited,lstm,19.0,0.00026,400000.0
k3_doppler_limited,lstm,20.0,0.000228,500000.0
k3_doppler_limited,mc_dlsk,-5.0,0.09032,100000.0
k3_doppler_limited,mc_dlsk,-3.0,0.03095,100000.0
k3_doppler_limited,mc_dlsk,-1.0,0.0087,100000.0
k3_doppler_limited,mc_dlsk,1.0,0.00279,100000.0
k3_doppler_limited,mc_dlsk,3.0,0.00117,100000.0
k3_doppler_limited,mc_dlsk,5.0,0.00069,200000.0
k3_doppler_limited,mc_dlsk,7.0,0.000535,200000.0
k3_doppler_limited,mc_dlsk,9.0,0.0003933333333333,300000.0
k3_doppler_limited,mc_dlsk,11.0,0.00036,300000.0
k3_doppler_limited,mc_dlsk,13.0,0.0003075,400000.0
k3_doppler_limited,mc_dlsk,15.0,0.000275,400000.0
k3_doppler_limited,mc_dlsk,17.0,0.000285,400000.0
k3_doppler_limited,mc_dlsk,19.0,0.000252,500000.0
k3_doppler_limited,mc_dlsk,20.0,0.0002675,400000.0
