scenario,model,snr_db,delay_corr
k3_doppler_full,mc_dlsk,3.0,0.5879263256756796
k3_doppler_full,mc_dlsk,5.0,0.6510406598206766
k3_doppler_full,mc_dlsk,7.0,0.6972498087185103
k3_doppler_full,mc_dlsk,9.0,0.7294185176200528
k3_doppler_full,mc_dlsk,11.0,0.7519201985425901
k3_doppler_full,mc_dlsk,13.0,0.7650346354520564
k3_doppler_full,mc_dlsk,15.0,0.7731809627390277
k3_doppler_full,mc_dlsk,17.0,0.7783695237209027
k3_doppler_full,mc_dlsk,19.0,0.7817212980443448
k3_doppler_full,mc_dlsk,20.0,0.7826531864735302
k3_doppler_limited,conv1d,-5.0,0.2621728669977211
k3_doppler_limited,conv1d,-3.0,0.3528515884611257
k3_doppler_limited,conv1d,-1.0,0.4439935772847871
k3_doppler_limited,conv1d,1.0,0.5292552027719031
k3_doppler_limited,conv1d,3.0,0.6026261968358526
k3_doppler_limited,conv1d,5.0,0.6647785496108475
k3_doppler_limited,conv1d,7.0,0.7085170746183169
k3_doppler_limited,conv1d,9.0,0.740429516160627
k3_doppler_limited,conv1d,11.0,0.7611974726465366
k3_doppler_limited,conv1d,13.0,0.7742961724171742
k3_doppler_limited,conv1d,15.0,0.7820934107427784
k3_doppler_limited,conv1d,17.0,0.7874357692133628
k3_doppler_limited,conv1d,19.0,0.7901415236102997
k3_doppler_limited,conv1d,20.0,0.7912525792340627
k3_doppler_limited,qkv,-5.0,0.2647009349105795
k3_doppler_limited,qkv,-3.0,0.346504726993197
k3_doppler_limited,qkv,-1.0,0.4325243974791061
k3_doppler_limited,qkv,1.0,0.5109941364693003
k3_doppler_limited,qkv,3.0,0.5840139204648102
k3_doppler_limited,qkv,5.0,0.6495178383522783
k3_doppler_limited,qkv,7.0,0.6963412101368136
k3_doppler_limited,qkv,9.0,0.729018820693304
k3_doppler_limited,qkv,11.0,0.7510735262086693
k3_doppler_limited,qkv,13.0,0.764528771422046
k3_doppler_limited,qkv,15.0,0.772558683745401
k3_doppler_limited,qkv,17.0,0.7784242799586389
k3_doppler_limited,qkv,19.0,0.7810145910849222
k3_doppler_limited,qkv,20.0,0.7818621391222318
k3_doppler_limited,lstm,-5.0,0.252319079751179
k3_doppler_limited,lstm,-3.0,0.3425995528844767
k3_doppler_limited,lstm,-1.0,0.4313043680880282
k3_doppler_limited,lstm,1.0,0.5158316832117055
k3_doppler_limited,lstm,3.0,0.590606937899646
k3_doppler_limited,lstm,5.0,0.6573466351915499
k3_doppler_limited,lstm,7.0,0.7056483352536459
k3_doppler_limited,lstm,9.0,0.7394319276546404
k3_doppler_limited,lstm,11.0,0.7632886672325281
k3_doppler_limited,lstm,13.0,0.7771721529895457
k3_doppler_limited,lstm,15.0,0.7864060356854565
k3_doppler_limited,lstm,17.0,0.792402263152256
k3_doppler_limited,lstm,19.0,0.795339967365229
k3_doppler_limited,lstm,20.0,0.7963783591964322
k3_doppler_limited,mc_dlsk,-5.0,0.2580410311479029
k3_doppler_limited,mc_dlsk,-3.0,0.3515383509499241
k3_doppler_limited,mc_dlsk,-1.0,0.437426849460487
k3_doppler_limited,mc_dlsk,1.0,0.522210847026482
k3_doppler_limited,mc_dlsk,3.0,0.5943735105332723
k3_doppler_limited,mc_dlsk,5.0,0.6575571203561973
k3_doppler_limited,mc_dlsk,7.0,0.703379206100553
k3_doppler_limited,mc_dlsk,9.0,0.7350055816480621
k3_doppler_limited,mc_dlsk,11.0,0.7571042396409456
k3_doppler_limited,mc_dlsk,13.0,0.7702703672694068
k3_doppler_limited,mc_dlsk,15.0,0.7779120538796909
k3_doppler_limited,mc_dlsk,17.0,0.7832510006053417
k3_doppler_limited,mc_dlsk,19.0,0.786257181222873
k3_doppler_limited,mc_dlsk,20.0,0.7872775291276003
