2026-09-25 11:56:10 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr7_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.053e-07, 7.992e-05]
2026-09-25 11:56:11 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr9_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.212e-08, 7.971e-05]
2026-09-25 11:56:11 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr11_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [6.813e-08, 7.990e-05]
2026-09-25 11:56:12 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr13_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [2.243e-08, 7.999e-05]
2026-09-25 11:56:13 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr15_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.167e-08, 7.999e-05]
2026-09-25 11:56:14 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr17_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [5.824e-08, 7.976e-05]
2026-09-25 11:56:14 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr19_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [9.317e-08, 7.983e-05]
2026-09-25 11:56:15 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr21_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [9.097e-08, 7.998e-05]
2026-09-25 11:56:15 | src.data.dataset_generator     | INFO   | split 'val': 14 files generated, 5000 symbols per combination (combos=14)
2026-09-25 11:56:17 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr-5_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [4.596e-08, 8.000e-05]
2026-09-25 11:56:19 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr-3_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [3.709e-08, 7.996e-05]
2026-09-25 11:56:21 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr-1_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.647e-08, 7.999e-05]
2026-09-25 11:56:23 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr1_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [2.711e-08, 7.998e-05]
2026-09-25 11:56:25 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr3_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [9.743e-09, 7.999e-05]
2026-09-25 11:56:28 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr5_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [3.631e-09, 7.997e-05]
