offset,ratio,n_peers,corange,target_hit,peer_false,fallback,abs_err,label_mode,guard_factor
16.0,2.6268649009457548,1,False,True,False,False,0.3514113426208496,exclude_with_fallback,1.0
6.0,0.34967288672867114,1,False,False,False,False,4.9083733558654785,exclude_with_fallback,1.0
10.0,1.767924688395875,1,False,False,False,True,1.8289543688297272,exclude_with_fallback,1.0
10.0,4.803470199606329,1,False,False,False,False,2.016758978366852,exclude_with_fallback,1.0
7.0,9.916199218871306,1,False,True,False,True,0.4057956635951996,exclude_with_fallback,1.0
10.0,2.66770035722698,1,False,False,False,False,6.1920411586761475,exclude_with_fallback,1.0
3.0,1.11242669665557,1,False,False,False,False,0.5978689342737198,exclude_with_fallback,1.0
16.0,1.2610260179712767,1,False,False,False,False,0.8770403265953064,exclude_with_fallback,1.0
7.0,0.27612617205721013,1,False,False,False,False,6.23186706751585,exclude_with_fallback,1.0
22.0,0.684749052583805,1,False,False,False,True,19.94340793043375,exclude_with_fallback,1.0
-1.0,1.6948281264086222,1,False,False,True,True,1.0850531160831451,exclude_with_fallback,1.0
24.0,8.297238903120451,1,False,True,False,False,0.18805360794067383,exclude_with_fallback,1.0
25.0,6.454182019814955,1,False,False,False,True,0.7654832005500793,exclude_with_fallback,1.0
22.0,1.4515035433488004,1,False,False,False,True,3.0423301458358765,exclude_with_fallback,1.0
-2.0,5.404967837191905,1,False,False,False,False,2.887479603290558,exclude_with_fallback,1.0
4.0,1.7434902449244207,1,False,False,False,False,1.3375077843666077,exclude_with_fallback,1.0
13.0,3.964080164278853,1,False,False,False,True,1.1769840717315674,exclude_with_fallback,1.0
7.0,11.332069558477427,1,False,False,False,True,0.5399713814258575,exclude_with_fallback,1.0
1.0,3.141695101281657,1,False,False,False,True,0.7111703008413315,exclude_with_fallback,1.0
14.0,6.375202970465451,1,False,False,False,False,0.6092978119850159,exclude_with_fallback,1.0
24.0,7.262431252341299,1,False,False,False,False,0.741295576095581,exclude_with_fallback,1.0
4.0,2.162267702110958,1,False,False,False,False,1.2235701084136963,exclude_with_fallback,1.0
24.0,9.834015237538237,1,False,False,False,False,0.5429598093032837,exclude_with_fallback,1.0
13.0,2.3028808473717866,1,False,False,False,False,1.3119465112686157,exclude_with_fallback,1.0
19.0,7.97234753553728,1,False,True,False,True,0.05926311016082764,exclude_with_fallback,1.0
30.0,0.25640635113991617,1,False,False,False,False,29.124226070940495,exclude_with_fallback,1.0
7.0,0.41434871836228887,1,False,False,False,True,6.158987175673246,exclude_with_fallback,1.0
13.0,5.742150382196453,1,False,False,False,True,2.938847929239273,exclude_with_fallback,1.0
1.0,11.572148985637321,1,False,False,False,True,0.768947184085846,exclude_with_fallback,1.0
5.0,3.5356280498070225,1,False,False,False,False,0.7806574702262878,exclude_with_fallback,1.0
30.0,1.1608885267423497,1,False,False,False,False,7.6721819043159485,exclude_with_fallback,1.0
30.0,0.9331566613596685,1,False,False,False,True,21.08519133925438,exclude_with_fallback,1.0
19.0,2.1211191376354517,1,False,False,False,True,0.6458753347396851,exclude_with_fallback,1.0
14.0,0.19938919842611547,1,False,False,False,True,13.135018222033978,exclude_with_fallback,1.0
15.0,0.9940727065330678,1,False,False,False,True,7.56838721036911,exclude_with_fallback,1.0
20.0,3.043151584960847,1,False,False,False,False,5.4063650369644165,exclude_with_fallback,1.0
2.0,10.830253448130085,1,False,False,False,False,0.7210381329059601,exclude_with_fallback,1.0
9.0,2.7232961352597793,1,False,False,False,False,1.2414970695972443,exclude_with_fallback,1.0
22.0,0.49075795641946274,1,False,False,False,False,20.480332300066948,exclude_with_fallback,1.0
17.0,0.36664221853402307,1,False,False,False,False,16.027054768055677,exclude_with_fallback,1.0
11.0,2.292080456874169,1,False,False,False,True,2.349059045314789,exclude_with_fallback,1.0
-1.0,2.611506494849522,1,False,False,False,True,1.5312901511788368,exclude_with_fallback,1.0
2.0,4.386906035576872,1,False,False,False,True,0.8781543672084808,exclude_with_fallback,1.0
3.0,0.3675011995754428,1,False,False,False,False,1.953257478773594,exclude_with_fallback,1.0
22.0,3.6050396754891665,1,False,True,False,True,0.3943674564361572,exclude_with_fallback,1.0
14.0,0.638721070276975,1,False,False,False,True,12.592162229120731,exclude_with_fallback,1.0
11.0,2.8417189363397553,1,False,False,False,True,0.6258682608604431,exclude_with_fallback,1.0
5.0,3.6487682489291027,1,False,False,False,False,0.8825633823871613,exclude_with_fallback,1.0
