snr_db,ber,n_errors,n_symbols
-5.0,0.4818,4818,10000
-3.0,0.4741,4741,10000
-1.0,0.4468,4468,10000
1.0,0.4037,4037,10000
3.0,0.366,3660,10000
5.0,0.3238,3238,10000
7.0,0.2741,2741,10000
9.0,0.2452,2452,10000
11.0,0.2297,2297,10000
13.0,0.2113,2113,10000
15.0,0.2046,2046,10000
17.0,0.1994,1994,10000
19.0,0.1941,1941,10000
21.0,0.1981,1981,10000
