jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.020843382051203566,0.007058563951193125,0.01106754502174004,0.03096770035750619,58.835357333618035,2.5564535690189025,5.352134145940472e-10,8.726286603851716e-14,5
-8.0,0.038074021236293026,0.01786163130517198,0.011706019472465606,0.06113355167937822,62.288235467156554,2.9612258063092125,5.35038904185186e-10,2.379110008112848e-13,5
-6.0,0.07894264958782021,0.04188994687577021,0.012851207025098595,0.12607156143707485,66.54265764174772,3.4460608349599453,5.35722086226951e-10,9.253784870141546e-13,5
-4.0,0.1576722446596798,0.08342763819721992,0.016516782397038417,0.25730096726190477,72.57127904165577,3.8036836495827004,5.355439957611062e-10,8.075153489186591e-13,5
-2.0,0.2641386821364118,0.13020180876275647,0.02488797913443985,0.4091331845238095,78.77437965188506,3.4867958744664658,5.350733704472439e-10,1.9244338453994088e-12,5
0.0,0.36277469087759484,0.16422537251476474,0.03783178772130743,0.47963169642857145,84.08903155644168,3.9394785179683516,5.352085928719743e-10,1.8578563547088604e-12,5
2.0,0.406257603476714,0.1699749716997566,0.06644426738357036,0.49637276785714285,88.92479292357352,3.8013588319781273,5.356654401426511e-10,1.2270995980055862e-12,5
4.0,0.42363393670590127,0.1519067070295535,0.11984379067236348,0.5016741071428571,93.08930445499715,4.515038524866508,5.379542431107992e-10,2.5464962855139555e-12,5
6.0,0.44034598214285714,0.11932082443485617,0.20172991071428573,0.501953125,97.31154058520713,6.20513290700423,5.440703660567942e-10,8.297443642230621e-12,5
8.0,0.43992559523809527,0.12016150876133824,0.19962797619047618,0.501953125,102.52321158780713,9.805572054639244,5.587213503056405e-10,2.6390033226923002e-11,5
10.0,0.4572358630952381,0.08554611258642542,0.2861793154761905,0.501953125,111.0802562292946,15.00858195100988,5.994158642103769e-10,6.503440675470449e-11,5
