jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.012070811494684938,0.0005486312215433409,0.011385830568234754,0.0129715676693563,60.31903329082528,0.22339317236826028,5.353727666325658e-10,1.0647831690470303e-13,5
-8.0,0.013549816692846292,0.0005449801480390395,0.013038012157599355,0.014531193385314323,64.69994931818994,0.26739053034206567,5.354839726231248e-10,1.043395843268404e-13,5
-6.0,0.01643613291087579,0.0005234011589197384,0.01583826161061439,0.017142950152697893,69.73987675833064,0.30132884271820387,5.356691813788993e-10,1.2904421935466957e-13,5
-4.0,0.022119321142636157,0.0009172239982377264,0.02055320340200757,0.02326183505118465,75.0360296990855,0.4022520345980831,5.35909994535013e-10,1.7360031614302185e-13,5
-2.0,0.036163960686886695,0.0010247595537582683,0.034431422600134584,0.03736781754057345,80.21034180396104,0.4222370753361409,5.360033148757473e-10,3.225909682975674e-13,5
0.0,0.0650823409665483,0.001328459070817241,0.0634670146043492,0.06669517153876475,84.7841686021911,0.49154189618782157,5.366939721694111e-10,3.9518140115984004e-13,5
2.0,0.11537690188793177,0.0033880086031174653,0.11098628564454387,0.12026658066833697,87.72759631656825,0.5381759727394639,5.383106873690755e-10,5.718451122491842e-13,5
4.0,0.18866257440476192,0.002525223794151283,0.18544456845238094,0.19210379464285715,90.28774265741029,0.7439850695214012,5.398450416779546e-10,2.0983438197419613e-12,5
6.0,0.2737816220238095,0.002338614282977077,0.2708333333333333,0.27673921130952384,92.93652734386447,0.7361180802266772,5.403558779492175e-10,2.2343476298743737e-12,5
8.0,0.3481026785714286,0.004823199378109996,0.34486607142857145,0.3577008928571429,95.00021375764547,0.9886526628669047,5.444273177497212e-10,1.5526428939363862e-12,5
10.0,0.4089471726190476,0.003945908377157076,0.40280877976190477,0.41378348214285715,98.10698988856203,1.5123494389542156,5.468832667226986e-10,2.693018382566163e-12,5
