jsr_db,realization,ber,mse_tau,mse_fd
-10.0,0,0.03096770035750619,58.12667402176428,5.352112452160265e-10
-8.0,0,0.06113355167937822,61.612112783551424,5.346851105217673e-10
-6.0,0,0.12093026906813721,65.6836179393093,5.375122099740234e-10
-4.0,0,0.22334449404761905,73.05621710225337,5.341734080461699e-10
-2.0,0,0.3428199404761905,79.84605046743079,5.371428501831633e-10
0.0,0,0.45786830357142855,87.06051497529269,5.35459537702385e-10
2.0,0,0.4946986607142857,93.079307759267,5.362910138587323e-10
4.0,0,0.5016741071428571,99.76259935907476,5.388729554286647e-10
6.0,0,0.501953125,108.19630123933241,5.450891529285447e-10
8.0,0,0.501953125,120.64634167079116,5.550401716012132e-10
10.0,0,0.501953125,138.63284138050417,5.669514716341831e-10
-10.0,1,0.021742986684723638,55.81277432040474,5.350552104907382e-10
-8.0,1,0.03792284559968266,58.29754936058798,5.350347235302689e-10
-6.0,1,0.07627848325275384,61.67100238952549,5.348850315172208e-10
-4.0,1,0.15874787414965988,66.78797244904428,5.364762676079816e-10
-2.0,1,0.2815755208333333,73.58402315412899,5.339063216831224e-10
0.0,1,0.4287574404761905,77.4491568748144,5.370139857821337e-10
2.0,1,0.49135044642857145,82.63131079377206,5.346740534664879e-10
4.0,1,0.5016741071428571,87.09902314960314,5.355615049844779e-10
6.0,1,0.501953125,91.61732857106747,5.375060104965051e-10
8.0,1,0.501953125,96.94496466552228,5.403131518968466e-10
10.0,1,0.501953125,103.28241954591083,5.436450047850817e-10
-10.0,2,0.01106754502174004,57.55378736048069,5.353165797360479e-10
-8.0,2,0.011706019472465606,61.15950613187361,5.35263895743667e-10
-6.0,2,0.012851207025098595,65.66463552421509,5.352971043674305e-10
-4.0,2,0.016516782397038417,70.83228953531437,5.354059529581427e-10
-2.0,2,0.02488797913443985,76.244676730665,5.356164682660418e-10
0.0,2,0.03783178772130743,81.74714013942146,5.360496839983013e-10
2.0,2,0.06644426738357036,86.62525296881026,5.358906582675939e-10
4.0,2,0.11984379067236348,89.3039274459082,5.387084167302505e-10
6.0,2,0.20172991071428573,91.27098345604466,5.416975958974302e-10
8.0,2,0.19962797619047618,91.75937676245609,5.414066352014875e-10
10.0,2,0.2861793154761905,93.7155122432351,5.496994703064195e-10
-10.0,3,0.025192249046695796,63.443245048540405,5.352225078581325e-10
-8.0,3,0.05326059897684198,67.35319313510298,5.348836328780047e-10
-6.0,3,0.12607156143707485,72.32665413280151,5.356259347010117e-10
-4.0,3,0.25730096726190477,78.421476651858,5.362369054010205e-10
-2.0,3,0.4091331845238095,83.54780065421507,5.319492786119276e-10
0.0,3,0.47963169642857145,87.84703447618222,5.358848199675503e-10
2.0,3,0.49637276785714285,90.79356351955487,5.374813134599693e-10
4.0,3,0.49776785714285715,93.551881331864,5.418515493913466e-10
6.0,3,0.498046875,96.1927314729004,5.594996941780729e-10
8.0,3,0.498046875,100.26606253944958,6.104672399915531e-10
10.0,3,0.498046875,108.8988308964533,7.183716663371666e-10
-10.0,4,0.015246429145352168,59.24030591690006,5.352615296692911e-10
-8.0,4,0.02634709045309666,63.01881592466672,5.353271582522222e-10
-6.0,4,0.058581727156036545,67.36737822288731,5.352901505750686e-10
-4.0,4,0.13245110544217686,73.7584394698089,5.354274447922158e-10
-2.0,4,0.2622767857142857,80.64934725298546,5.367519334919646e-10
0.0,4,0.4097842261904762,86.34131131649767,5.316349369095012e-10
2.0,4,0.482421875,91.49452957646345,5.339901616604724e-10
4.0,4,0.49720982142857145,95.7290909885357,5.347767890192564e-10
6.0,4,0.498046875,99.28035818669068,5.365593767834183e-10
8.0,4,0.498046875,102.99931230081646,5.463795528371018e-10
10.0,4,0.498046875,110.87167708036961,6.184117079890332e-10
