2026-09-25 14:38:49 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=-10.0 dB | BER=0.03821
2026-09-25 14:38:50 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:38:50 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 2/512 sensing elements outside [0,1] (min=0.0777, max=1.0892) -> clamped
2026-09-25 14:38:51 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 5/1024 sensing elements outside [0,1] (min=-0.1356, max=1.0487) -> clamped
2026-09-25 14:38:51 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 3/768 sensing elements outside [0,1] (min=-0.0308, max=1.2086) -> clamped
2026-09-25 14:38:52 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 7/1792 sensing elements outside [0,1] (min=-0.2072, max=1.1816) -> clamped
2026-09-25 14:38:54 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 18/2816 sensing elements outside [0,1] (min=-0.3149, max=1.2272) -> clamped
2026-09-25 14:38:55 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 24/2816 sensing elements outside [0,1] (min=-0.3225, max=1.1285) -> clamped
2026-09-25 14:38:56 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 23/3328 sensing elements outside [0,1] (min=-0.1457, max=1.1096) -> clamped
2026-09-25 14:38:57 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 32/3840 sensing elements outside [0,1] (min=-0.1436, max=1.2266) -> clamped
2026-09-25 14:38:59 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 33/4096 sensing elements outside [0,1] (min=-0.1981, max=1.3214) -> clamped
2026-09-25 14:39:00 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 36/3072 sensing elements outside [0,1] (min=-0.2443, max=1.1835) -> clamped
2026-09-25 14:39:00 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 36/3072 sensing elements outside [0,1] (min=-0.2425, max=1.2174) -> clamped
2026-09-25 14:39:01 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 39/3328 sensing elements outside [0,1] (min=-0.2457, max=1.1127) -> clamped
2026-09-25 14:39:03 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 49/4096 sensing elements outside [0,1] (min=-0.2117, max=1.1925) -> clamped
2026-09-25 14:39:03 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:03 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=-8.0 dB | BER=0.08373
2026-09-25 14:39:03 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:03 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 2/512 sensing elements outside [0,1] (min=0.0108, max=1.0677) -> clamped
2026-09-25 14:39:03 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 4/512 sensing elements outside [0,1] (min=-0.1547, max=1.0371) -> clamped
2026-09-25 14:39:04 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 2/512 sensing elements outside [0,1] (min=-0.0750, max=1.0004) -> clamped
2026-09-25 14:39:04 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 5/1024 sensing elements outside [0,1] (min=-0.0072, max=1.1685) -> clamped
2026-09-25 14:39:04 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 10/1024 sensing elements outside [0,1] (min=-0.1562, max=1.2849) -> clamped
2026-09-25 14:39:05 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 6/1024 sensing elements outside [0,1] (min=-0.1187, max=1.1034) -> clamped
