jsr_db,ber_legacy,ber_mc,ber_mc_std,ber_mc_min,ber_mc_max
-10.0,0.004125,0.003225,0.0022664084236644426,0.000125,0.007375
-8.0,0.0015,0.013533333333333335,0.010571025370367453,0.00025,0.032125
-6.0,0.07225,0.04968333333333333,0.035966374011343,0.00025,0.1075
-4.0,0.008375,0.137375,0.08731332127131902,0.00025,0.268875
-2.0,0.422375,0.2755666666666666,0.139289370449572,0.0005,0.430125
0.0,0.4775,0.3907083333333333,0.15033731170826042,0.0005,0.486375
2.0,0.492,0.44351666666666667,0.13551219688999358,0.000625,0.507
4.0,0.50775,0.4615916666666667,0.12855490130216551,0.001375,0.507875
6.0,0.492125,0.46669166666666667,0.127119362379091,0.008,0.507875
8.0,0.507875,0.4688333333333333,0.12092950708790558,0.032625,0.507875
10.0,0.492125,0.47296666666666665,0.10499539176395632,0.0945,0.507875
