2026-09-26 12:31:35 | src.training.trainer           | INFO   | Model compiled: loss_weights = {'comm': 1.0, 'sensing': 2}, lr=0.001000, optimizer=adam, label_smoothing=0.1, lr_schedule=cosine, sensing_range_penalty=1.0, sensing_component_weights=[1.0, 1.0]
2026-09-26 12:31:35 | src.training.trainer           | INFO   | Callbacks configured: 5
2026-09-26 12:31:35 | src.training.trainer           | INFO   | Starting training: epochs=2, batch_size=32
2026-09-26 12:31:39 | src.training.trainer           | INFO   | History saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/logs/history.csv
2026-09-26 12:31:39 | src.training.trainer           | INFO   | Metadata saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/logs/run_metadata.json
2026-09-26 12:31:39 | src.training.trainer           | INFO   | Training completed in 2 epochs. Best val_loss = 1.004920, best loss = 0.936734
2026-09-26 12:31:39 | src.training.trainer           | INFO   | Best weights reloaded from results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/logs/best_weights.weights.h5 before evaluation/saving
2026-09-26 12:31:39 | src.evaluation.evaluator       | INFO   | Starting evaluation over 3 SNR points
2026-09-26 12:31:39 | src.evaluation.evaluator       | INFO   | Evaluation completed for 3 SNR points
2026-09-26 12:31:39 | src.experiments.pipeline       | INFO   | Metrics saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/metrics.csv
2026-09-26 12:31:40 | src.evaluation.evaluator       | INFO   | BER plot saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/plots/ber_vs_snr_dual_head_ultra_can.pdf
2026-09-26 12:31:40 | src.experiments.pipeline       | INFO   | BER vs SNR plot saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/plots/ber_vs_snr_dual_head_ultra_can.pdf
2026-09-26 12:31:40 | src.experiments.pipeline       | INFO   | Model saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/best_model.keras
2026-09-26 12:31:40 | src.utils.config_loader        | INFO   | config snapshot saved: results/smoke2/fast/ber_vs_snr/k1_doppler_full/conv1d/logs/config_used.yaml
2026-09-26 12:31:41 | __main__                       | INFO   | RSS [ber_vs_snr k1_doppler_full/conv1d] = 0.83 GB
2026-09-26 12:31:41 | __main__                       | INFO   | Architecture: qkv
2026-09-26 12:31:41 | src.experiments.pipeline       | INFO   | build_model 'qkv': model seed applied = 15 (from model.seeds.qkv, dataset seed stays 42)
2026-09-26 12:31:41 | src.models.heads               | INFO   | communication_head built: input_dim=64, units=128, M=2, params=8578
2026-09-26 12:31:41 | src.models.heads               | INFO   | sensing_head built: input_dim=228, units=32, output_units=2, params=7394
2026-09-26 12:31:42 | src.models.ultra_can_qkv       | INFO   | model 'dual_head_ultra_can_qkv' built: comm=8578 params, sensing=7394 params, TOTAL=43204 params, lambda_mse=2
2026-09-26 12:31:42 | src.experiments.pipeline       | INFO   | Model 'dual_head_ultra_can_qkv' built: 43204 trainable parameters.
2026-09-26 12:31:42 | src.experiments.pipeline       | INFO   | Training for 2 epochs, lambda_mse=2.0000
2026-09-26 12:31:42 | src.training.trainer           | INFO   | Sensing component weights: delay=1.000, f_doppler=1.000
2026-09-26 12:31:42 | src.training.trainer           | INFO   | Trainer initialized: lambda_mse = 2.0
2026-09-26 12:31:42 | src.training.trainer           | INFO   | Model compiled: loss_weights = {'comm': 1.0, 'sensing': 2}, lr=0.001000, optimizer=adam, label_smoothing=0.1, lr_schedule=cosine, sensing_range_penalty=1.0, sensing_component_weights=[1.0, 1.0]
2026-09-26 12:31:42 | src.training.trainer           | INFO   | Callbacks configured: 5
2026-09-26 12:31:42 | src.training.trainer           | INFO   | Starting training: epochs=2, batch_size=32
2026-09-26 12:31:47 | src.training.trainer           | INFO   | History saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/logs/history.csv
2026-09-26 12:31:47 | src.training.trainer           | INFO   | Metadata saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/logs/run_metadata.json
2026-09-26 12:31:47 | src.training.trainer           | INFO   | Training completed in 2 epochs. Best val_loss = 1.030549, best loss = 1.216570
2026-09-26 12:31:47 | src.training.trainer           | INFO   | Best weights reloaded from results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/logs/best_weights.weights.h5 before evaluation/saving
2026-09-26 12:31:47 | src.evaluation.evaluator       | INFO   | Starting evaluation over 3 SNR points
2026-09-26 12:31:48 | src.evaluation.evaluator       | INFO   | Evaluation completed for 3 SNR points
2026-09-26 12:31:48 | src.experiments.pipeline       | INFO   | Metrics saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/metrics.csv
2026-09-26 12:31:48 | src.evaluation.evaluator       | INFO   | BER plot saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/plots/ber_vs_snr_dual_head_ultra_can_qkv.pdf
