snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_q05,ber_q95,realization,n_realizations
-1.0,611.0,1200.0,0.5091666666666667,0.38686108322241175,qkv,clean,,,,,,,,,
7.0,600.0,1200.0,0.5,0.745216873790576,qkv,clean,,,,,,,,,
15.0,601.0,1200.0,0.5008333333333334,0.9229067745145654,qkv,clean,,,,,,,,,
-1.0,611.0,1200.0,0.5091666666666667,0.35720631501721334,qkv,cw,-10.0,0.0,0.0,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.5091666666666667,0.0,1.0
7.0,599.0,1200.0,0.49916666666666665,0.6601216890835596,qkv,cw,-10.0,0.0,0.0,0.49916666666666665,0.49916666666666665,0.49916666666666665,0.49916666666666665,0.0,1.0
15.0,602.0,1200.0,0.5016666666666667,0.8177015149238476,qkv,cw,-10.0,0.0,0.0,0.5016666666666667,0.5016666666666667,0.5016666666666667,0.5016666666666667,0.0,1.0
-1.0,600.0,1200.0,0.5,0.0691264356927432,qkv,cw,10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
7.0,600.0,1200.0,0.5,0.09295838492817947,qkv,cw,10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
15.0,600.0,1200.0,0.5,0.07479865602571202,qkv,cw,10.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0
