channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_a,mc_dlsk,-5.0,0.25777,25777,100000,0.2550683158705932,0.2604902937459288,100.36787074100114,0.0017841017552913344,5.446685181203948e-10,-0.008697277677428531
b_tdl_a,mc_dlsk,-3.0,0.21045,21045,100000,0.20793468685921943,0.21298755817427742,99.90276269381492,0.0029184910547504807,5.399471542447016e-10,-0.006153174915298193
b_tdl_a,mc_dlsk,-1.0,0.18527,18527,100000,0.18287410004089846,0.18769007947694802,102.46507917330409,0.001022557816793166,5.360059736104274e-10,0.0007910929171307466
b_tdl_a,mc_dlsk,1.0,0.17688,17688,100000,0.17452749085295124,0.17925733323692442,101.75142705388933,0.0031249838169507245,5.328788143085108e-10,0.0011104665965593903
b_tdl_a,mc_dlsk,3.0,0.16755,16755,100000,0.16524805475655796,0.1698774861219985,103.0127256535751,-0.0030759947971409174,5.337942597994826e-10,-0.002068111366254332
b_tdl_a,mc_dlsk,5.0,0.16396,16396,100000,0.1616781914955584,0.1662676251891464,102.70184594243722,-0.006425200348108754,5.326174502180379e-10,0.002127099512246316
b_tdl_a,mc_dlsk,7.0,0.16388,16388,100000,0.161598644668555,0.16618717816224782,103.54784653920534,-0.005430059945965147,5.386928547773813e-10,-0.0016457563411783741
b_tdl_a,mc_dlsk,9.0,0.16147,16147,100000,0.15920238868469053,0.16376361929731495,102.34112779127744,-0.006631691759522129,5.299303181512955e-10,0.00137290207295423
b_tdl_a,mc_dlsk,11.0,0.16111,16111,100000,0.1588444571592684,0.16340157848017814,104.62682616881526,0.00027262124724806584,5.404591004951072e-10,-0.005534761125880957
b_tdl_a,mc_dlsk,13.0,0.16506,16506,100000,0.16277198013004507,0.16737375204581206,105.32105023006334,0.006707328475254599,5.344070296212463e-10,-0.002037486084005527
b_tdl_a,mc_dlsk,15.0,0.16341,16341,100000,0.16113131101173003,0.16571454792739862,106.83749898012651,0.0002119485072457537,5.386223188588242e-10,-0.003868317347536766
b_tdl_a,mc_dlsk,17.0,0.16302,16302,100000,0.16074352864855482,0.16532236025280164,109.86343436516204,-0.0060251476683316025,5.354219456867639e-10,0.002699794840967434
b_tdl_a,mc_dlsk,19.0,0.16378,16378,100000,0.16149921140972587,0.1660866191036995,111.0437683440922,-0.001427979575091602,5.380202763513796e-10,0.0003105335819922526
b_tdl_a,mc_dlsk,21.0,0.16207,16207,100000,0.15979895017780582,0.16436701170846452,109.91192258993198,0.006017862420317386,5.348564327943322e-10,0.00016027547075279466
