n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,mc_bilstm_1_energy,mc_bilstm_1_cos,dropout_mc_energy,dropout_mc_cos,shared_gap_energy,shared_gap_cos,mc_proj_energy,mc_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db
240000,333,0.0013875,45.75796880040568,5.329971539928377e-10,0.705432852166624,2.9066420552571612,,,0.0038902561241139968,1.0,0.0038902561241139968,1.0,0.0011570922140032053,1.0,0.014722153174877167,1.0,0.24900390435059866,1.0,0.003040807604479293,1.0,0.09940550703207651,1.0,mc_dlsk,clean,
240000,371,0.0015458333333333333,54.57384073184419,5.330400851235873e-10,0.6350755070392372,2.9023687357584635,,,0.003975704959655801,0.9969871261914571,0.003975704959655801,0.9969871261914571,0.0011263442831113935,0.9969871261914571,0.014061709893743198,0.9988543782234192,0.24852137287457784,0.9998647387822469,0.0037326486848294734,0.8902548206647237,0.09932174507379532,0.9988172260920206,mc_dlsk,cw,-10.0
240000,5233,0.021804166666666666,62.03261474242337,5.334134495645968e-10,0.5654448215392242,2.760361030069987,,,0.004197243080288172,0.9631762367884318,0.004197243080288172,0.9631762367884318,0.0011778745343287787,0.9631762367884318,0.014815038105845451,0.9614246091842651,0.24835933932463328,0.9995524024963379,0.004693050430342555,0.8318684565226236,0.09980497486988703,0.9961915070215861,mc_dlsk,cw,-6.0
240000,66396,0.27665,68.97769879154444,5.333792413248823e-10,0.4907087786627535,1.3221648760477702,,,0.005999399385352929,0.5709607849121093,0.005999399385352929,0.5709607849121093,0.0015755129486943284,0.5709607849121093,0.023239531295498213,0.5966425196329752,0.24749479369322458,0.9980208500226339,0.0066437273701032,0.7745596140225728,0.10226060346364975,0.9761778910954794,mc_dlsk,cw,-2.0
240000,107228,0.4467833333333333,85.0256393439148,5.349965927488142e-10,0.30945217289813254,0.36187288201649986,,,0.007523845267295838,0.5260088844299317,0.007523845267295838,0.5260088844299317,0.0025866568720589083,0.5260088844299317,0.043000924817721047,0.5013544991811116,0.24644528187115988,0.9984082155227662,0.013529739958047867,0.6604565466245016,0.10926247745752335,0.9523099969228108,mc_dlsk,cw,2.0
240000,120000,0.5,105.22066412471975,5.481052391707934e-10,0.09620350592581897,0.021897590736548105,,,0.030815030803283055,0.18290034146110218,0.030815030803283055,0.18290034146110218,0.020638979361454646,0.18290034146110218,0.3397267792860667,0.43358448608716327,0.24942309436003368,0.9971491060256958,0.054938602167367935,0.5463575636545817,0.19818914533456167,0.7443070349693298,mc_dlsk,cw,6.0
240000,120000,0.5,102.95730498956019,6.078072012212015e-10,0.06811093879208248,0.008595896271864573,,,0.03887038571238518,0.18605226544539133,0.03887038571238518,0.18605226544539133,0.023866945339242617,0.18605226544539133,0.4932059887568156,0.4347854994535446,0.2480218664487203,0.9973905409177144,0.06853342048724492,0.5213140908082327,0.24012235085169475,0.6858500723838806,mc_dlsk,cw,10.0
240000,550,0.0022916666666666667,56.502441712688416,5.33040492751148e-10,0.616521267276343,2.891493955485026,,,0.004101169891903798,0.9897294402122497,0.004101169891903798,0.9897294402122497,0.0011243344644084573,0.9897294402122497,0.013855388590693473,0.9933428042729696,0.24871517446041108,0.9993830939928691,0.003766323052595059,0.8734681396484375,0.09935790170033773,0.9981109592119852,mc_dlsk,barrage,-10.0
240000,1180,0.004916666666666666,66.17897284258225,5.333338046949521e-10,0.5212033395587932,2.8581283696492514,,,0.004432267897327741,0.967595311164856,0.004432267897327741,0.967595311164856,0.0010846498986706139,0.967595311164856,0.012699944877624512,0.9761737362543742,0.24845473233858745,0.9987449626922608,0.0048563784420490265,0.7880322917302449,0.09938802728652954,0.995412027200063,mc_dlsk,barrage,-6.0
240000,4165,0.017354166666666667,77.68931000183942,5.337291517138804e-10,0.38328267764318824,2.722431399536133,,,0.0053166919921835264,0.8913157382011414,0.0053166919921835264,0.8913157382011414,0.0010293021460995079,0.8913157382011414,0.010514455188810825,0.9099365170796713,0.24810995243390402,0.9977206610043844,0.007601176201055447,0.6861656924883525,0.09975831500689189,0.9885977683067322,mc_dlsk,barrage,-2.0
