n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,mc_bilstm_1_energy,mc_bilstm_1_cos,dropout_mc_energy,dropout_mc_cos,shared_gap_energy,shared_gap_cos,mc_proj_energy,mc_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,3419,0.014245833333333333,54.27251929207225,5.332982720833702e-10,0.6345287721018676,2.799941832478841,,,0.00428174025627474,0.9675373315811158,0.00428174025627474,0.9675373315811158,0.0011061961283907295,0.9675373315811158,0.013293357753256957,0.9628906203905742,0.24834910217920939,0.998758331934611,0.0036916979396094877,0.9075950716336568,0.0990538511633873,0.9967662846247355,mc_dlsk,cw,-10.0,0
240000,18350,0.07645833333333334,61.40928607873036,5.335940084460962e-10,0.568781151373407,2.4034944854736326,,,0.004902281486739715,0.8591857732137044,0.004902281486739715,0.8591857732137044,0.0011286154630904396,0.8591857732137044,0.01338337598691384,0.8433142902056376,0.24775188454786937,0.997930323600769,0.00466533141049246,0.849376594543457,0.09921518079439799,0.9911589593887329,mc_dlsk,cw,-6.0,0
240000,70463,0.29359583333333333,72.49657079343349,5.338906395229862e-10,0.44981234932417946,1.2371957710266113,,,0.006629810270418724,0.5511071720918019,0.006629810270418724,0.5511071720918019,0.0015452648602426052,0.5511071720918019,0.020732044478257498,0.5837144119739532,0.24707921443780262,0.9970055735905965,0.007104882461329301,0.776332479317983,0.10166599196990331,0.975785684744517,mc_dlsk,cw,-2.0,0
240000,116050,0.48354166666666665,86.07560802955983,5.343951719491274e-10,0.27127175412361115,0.1813072577794393,,,0.011809832978248596,0.19726916262010732,0.011809832978248596,0.19726916262010732,0.003867777201036612,0.19726916262010732,0.06490645071268082,0.4061101625363032,0.24662159305413564,0.9963139859835307,0.013223080898324649,0.6962006100018819,0.11454470345179239,0.9265009435017904,mc_dlsk,cw,2.0,0
240000,119987,0.4999458333333333,99.51227363250007,5.407370974385966e-10,0.15340123019264212,-0.006052549000581105,,,0.026419769323865572,0.036786778062582015,0.026419769323865572,0.036786778062582015,0.012384785847365857,0.036786778062582015,0.24456359969774882,0.36546739768981934,0.24564732693831126,0.9956595430374146,0.028575963977972667,0.6188106152216594,0.16367233392397562,0.7909049535592397,mc_dlsk,cw,6.0,0
240000,120000,0.5,126.33155897646132,5.611797362214871e-10,0.09794985364066251,-0.0005173585216204325,,,0.05693536554376284,-0.0032921970635652544,0.05693536554376284,-0.0032921970635652544,0.03267372130950292,-0.0032921970635652544,0.742538600285848,0.35675654780864713,0.243668137216568,0.9943994514147441,0.06711635673046112,0.5521173470020294,0.2986076168378194,0.6014054451783498,mc_dlsk,cw,10.0,0
240000,1824,0.0076,52.11063919364054,5.331121736523651e-10,0.6556189359950492,2.8548490142822267,,,0.00409325448324283,0.9820155181884765,0.00409325448324283,0.9820155181884765,0.0011271128279467424,0.9820155181884765,0.014058380314707755,0.9818664429982503,0.2487594453016917,0.9996172140439351,0.0035756337138513725,0.9136678876876831,0.09935235265096029,0.9982670588493348,mc_dlsk,cw,-10.0,1
240000,10529,0.04387083333333333,58.19396247119342,5.332915439240346e-10,0.6016462965568998,2.6178618982950845,,,0.00445038083717227,0.9154631951649984,0.00445038083717227,0.9154631951649984,0.001136521676244835,0.9154631951649984,0.014229448353250821,0.9010110856691996,0.24862422900994618,0.9991421348253886,0.004384493881339828,0.8558185243606568,0.09964704333941142,0.9943281537691752,mc_dlsk,cw,-6.0,1
240000,53438,0.22265833333333335,67.2313396216975,5.334531382723363e-10,0.5100910367850975,1.605244202931722,,,0.00565105994467934,0.6459058903853099,0.00565105994467934,0.6459058903853099,0.0014634911082064112,0.6459058903853099,0.021064875828226408,0.6509073314666748,0.24889215920766194,0.9982682132720947,0.006416413079202175,0.7817707236607869,0.10217715950409571,0.979836873849233,mc_dlsk,cw,-2.0,1
240000,113859,0.4744125,78.98605023523046,5.335515442157207e-10,0.3675681543362876,0.21481368575890858,,,0.010438801996409893,0.21186518865078688,0.010438801996409893,0.21186518865078688,0.004031336294859648,0.21186518865078688,0.07634411061207454,0.4031578220526377,0.25023336544036867,0.9971444312731425,0.011520607976118723,0.6993981294631958,0.11806045527855555,0.9212776503562927,mc_dlsk,cw,2.0,1
240000,119996,0.49998333333333334,89.25465651076462,5.346994830605817e-10,0.22740423401010976,-0.006794862818717957,,,0.025603417913118997,0.036733982135852175,0.025603417913118997,0.036733982135852175,0.014470957647264004,0.036733982135852175,0.31980816798210143,0.3621096167564392,0.25213355045318603,0.9963015195528666,0.024342153628667196,0.6195170605977376,0.18285532546838124,0.7605158490339915,mc_dlsk,cw,6.0,1
240000,120000,0.5,100.93590993865331,5.398225230673322e-10,0.12844193002815293,-0.0019282308419545492,,,0.05114151140650113,0.005597745046019554,0.05114151140650113,0.005597745046019554,0.033605413136879606,0.005597745046019554,0.8009534890492758,0.3579729119539261,0.2505974881331126,0.9951224244435628,0.05654903482198715,0.550866704305013,0.31147956520716347,0.5974910971323649,mc_dlsk,cw,10.0,1
240000,399,0.0016625,54.012685912747486,5.33087461500419e-10,0.640200733620862,2.9007075739542643,,,0.003975288666039706,0.9965836462974549,0.003975288666039706,0.9965836462974549,0.0011266110153247914,0.9965836462974549,0.014057706607381502,0.9984755495389303,0.24855426110426584,0.9998599680264791,0.0037060296124468246,0.8917619307835897,0.09932325531244278,0.9988240472475688,mc_dlsk,cw,-10.0,2
