scenario,conv1d,qkv,lstm,mc_dlsk
k1_doppler_full,0.00010749999999999772,0.00012367088607593164,0.00021259999999995998,0.00019156862745096275
k3_doppler_full,0.00022999999999996664,0.00014779411764704705,0.00030914285714285717,0.0004060714285714143
k3_doppler_limited,0.0002306666666666489,0.00016779661016948306,0.0003163636363636273,0.0003390322580645129
