snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd,mse_tau_argmax,corr_tau_argmax,exact_tau,exact_tau_argmax
0.0,0.5,4.526720945992465,6.239422307484518e-10,50,100,-0.3412810981009482,0.07984645983752366,6.63,0.2406664853171075,0.1,0.31
5.0,0.5,4.2007522059651095,7.976581120281381e-10,50,100,-0.24847845298090795,-0.04224316428552838,5.27,0.23814020072533987,0.07,0.36
10.0,0.5,5.7358457102419536,7.781715817322253e-10,50,100,-0.4327502991718995,-0.08635875587208,4.93,0.46736964994769836,0.04,0.48
