jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.011816797614568216,0.0004393631853660882,0.010997728343514021,0.012289204200025782,61.3769183765386,0.26014034995685525,5.373822322455019e-10,1.9157867110355138e-13,5
-8.0,0.013256761426585559,0.0005208204297477934,0.012585934560391322,0.013717660571691362,65.56317176479095,0.2725612365951577,5.374139107526262e-10,2.515267069049807e-13,5
-6.0,0.016136322377209588,0.0005005406674106511,0.015462901578541865,0.016797896086295214,70.4248956756796,0.2980343105745883,5.375420842990281e-10,2.80844151816745e-13,5
-4.0,0.021641294888602204,0.0007130917627312846,0.020567742022182,0.022568464574884678,75.5804453244241,0.28882779461343333,5.377287210082069e-10,3.0860119099199036e-13,5
-2.0,0.03451258364042135,0.0016277977627350134,0.03284729625681119,0.03707505545750638,80.53056111954254,0.356031652774267,5.378233517678427e-10,4.4473670843537033e-13,5
0.0,0.06196993100722875,0.0018216771880610713,0.0585584054828399,0.0640207311158294,85.22469154295945,0.371991865614461,5.385418891960204e-10,4.992581914328559e-13,5
2.0,0.11051986948386319,0.0015989769993099152,0.10780275574160011,0.11240119298652294,88.92225710565226,0.4004633090580003,5.412710497960184e-10,9.955384893005896e-13,5
4.0,0.18054129464285715,0.004000706582148335,0.17695312500000002,0.1881510416666667,92.75824922049337,0.6551586339590302,5.472534968585294e-10,2.141320398588599e-12,5
6.0,0.2629650297619047,0.003056685585328682,0.25846354166666663,0.2676246279761905,96.98393598516493,0.5524297584770058,5.603985426831005e-10,3.9971739726521976e-12,5
8.0,0.33939732142857143,0.004374009722514367,0.33203125,0.3440290178571428,100.45179594153993,0.7583537222567784,5.919371154210395e-10,6.6259305155349605e-12,5
10.0,0.4053385416666667,0.007173502742687704,0.39425223214285715,0.4146205357142857,105.35271563774788,1.0901626813960803,6.587155099806962e-10,8.89341532116295e-12,5
