jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.015539528155789678,0.002484527638272997,0.01314647438577421,0.020219789174998358,61.66422712495775,1.7006567686180376,5.371953955617072e-10,9.720466923504523e-14,5
-8.0,0.025142224178228506,0.008460977350120512,0.01770492867545028,0.04125111642915873,65.70878986062014,1.9542728762626036,5.372480476996657e-10,1.5675129468130377e-13,5
-6.0,0.05054335808483841,0.026330253453093134,0.02743460568306925,0.10036771238346083,70.51316193622773,2.073108193556971,5.373448915071478e-10,2.2916552744044106e-13,5
-4.0,0.10767417628587503,0.05765845241778081,0.050284460021570825,0.2108816964285714,75.96657829108102,2.262223281383911,5.384160644353954e-10,1.5327773656650351e-12,5
-2.0,0.20320718146555886,0.09530241195797141,0.09824953963239524,0.35993303571428575,82.80262089540511,3.405797560774501,5.385652747482954e-10,1.1463506976591e-12,5
0.0,0.3132068452380952,0.10491347161212088,0.18163132440476187,0.4584263392857143,89.06695233807025,3.2772510740933645,5.391523275219081e-10,4.689568944887964e-13,5
2.0,0.4015718005952381,0.07647545063081918,0.29571242559523814,0.4927455357142857,94.14985383562501,3.4600320908362185,5.4059425507611e-10,4.557174977539623e-13,5
4.0,0.4655877976190476,0.03239689837709988,0.4133184523809524,0.49720982142857145,98.35307987161062,4.073324117582241,5.454401584313229e-10,2.0583415936124164e-12,5
6.0,0.4916852678571429,0.00772713244438957,0.47739955357142855,0.498046875,102.7680828722439,4.826607173390847,5.574838623176586e-10,4.939510636548194e-12,5
8.0,0.4978794642857142,0.0016889225391095704,0.49497767857142855,0.5002790178571429,108.18342726871192,5.810913690513648,5.906760703524991e-10,1.194414913693861e-11,5
10.0,0.49910714285714286,0.0015221184929671721,0.498046875,0.501953125,115.88539371560162,7.7972123064550765,6.633049698039629e-10,2.605700602022468e-11,5
