snr_db,ber,n_errors,n_symbols
-5.0,0.4842,4842,10000
-3.0,0.4736,4736,10000
-1.0,0.4405,4405,10000
1.0,0.398,3980,10000
3.0,0.3528,3528,10000
5.0,0.2975,2975,10000
7.0,0.2468,2468,10000
9.0,0.205,2050,10000
11.0,0.1834,1834,10000
13.0,0.1618,1618,10000
15.0,0.1599,1599,10000
17.0,0.1512,1512,10000
19.0,0.1413,1413,10000
20.0,0.1471,1471,10000
