arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,4,0.00495,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,4,0.0415,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,2.0,4,0.22725,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,6.0,4,0.45135,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,4,0.4939,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,0,0.00345,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,0,0.0318,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,0,0.27725,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,0,0.5,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,6.0,0,0.50355,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,10.0,0,0.50355,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-10.0,0,0.0012,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-6.0,0,0.00365,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-2.0,0,0.0348,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,2.0,0,0.2468,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,6.0,0,0.4742,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,10.0,0,0.5008,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,1,0.002,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,1,0.0171,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,1,0.1481,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,1,0.46995,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,6.0,1,0.50375,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,10.0,1,0.50375,1.0,0.0,100000.0,1,10.0,8
