channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_d,mc_dlsk,7.0,0.11126,11126,100000,0.10932594371131352,0.11322392171545756,105.39065718632536,-0.003532782035381648,5.343424531485244e-10,-0.007991223021888965
b_tdl_d,mc_dlsk,9.0,0.10957,10957,100000,0.10764902816115463,0.11152096710193699,105.82040349444905,0.0007609329882136037,5.399425826405973e-10,0.002278315132308244
b_tdl_d,mc_dlsk,11.0,0.11077,11077,100000,0.10883972265195523,0.11273018041966616,105.86829198996108,0.0036974075517679944,5.355730003819109e-10,0.00032162150700322203
b_tdl_d,mc_dlsk,13.0,0.10986,10986,100000,0.10793677266142843,0.11181320032205788,107.39574328296081,-0.002815691250849637,5.311073396614944e-10,-0.0027461913613440205
b_tdl_d,mc_dlsk,15.0,0.11096,11096,100000,0.10902825592398145,0.1129216325506572,108.96562747204129,-0.003097972898975903,5.33336670889912e-10,0.003985390870523313
b_tdl_d,mc_dlsk,17.0,0.11043,11043,100000,0.10850235184113818,0.11238757735139979,110.52435144705574,0.0012214129699072603,5.325419081449491e-10,0.0003718443765323263
b_tdl_d,mc_dlsk,19.0,0.11012,11012,100000,0.10819475411199052,0.11207519889667723,110.85278643909405,-0.0036288829891209635,5.355380524465086e-10,0.004328651761117351
b_tdl_d,mc_dlsk,21.0,0.10768,10768,100000,0.10577383320621375,0.10961630725844343,112.21493182873948,-0.0008715764810658393,5.404524100305593e-10,-0.0016129594990630042
b_tdl_d_light,mc_dlsk,-5.0,0.13565,13565,100000,0.13354170981017702,0.13778628182496225,99.04684610304459,0.0014658353568877205,5.39381595014636e-10,0.00397438753737168
b_tdl_d_light,mc_dlsk,-3.0,0.06853,6853,100000,0.06698058449323256,0.07011256371813986,100.40159898874413,-0.002594609716875056,5.361299046497865e-10,0.0025727244118583298
b_tdl_d_light,mc_dlsk,-1.0,0.03503,3503,100000,0.033908214691896636,0.03618750719801884,102.32470217051974,-0.00038413070695736564,5.350254625329673e-10,0.0009697887896363211
b_tdl_d_light,mc_dlsk,1.0,0.02355,2355,100000,0.022628270144192893,0.02450833371078749,103.29945844692372,0.0015401642852294203,5.313113640328358e-10,-0.002693978615547598
b_tdl_d_light,mc_dlsk,3.0,0.01912,1912,100000,0.01828949796346647,0.019987446231691398,104.25170220768936,0.003065126674970496,5.359036712702826e-10,0.007259532926864358
b_tdl_d_light,mc_dlsk,5.0,0.0177,1770,100000,0.01690107885673839,0.01853597443165922,104.13452689721058,0.0034067125847822427,5.318725474300938e-10,-0.002094486201975996
b_tdl_d_light,mc_dlsk,7.0,0.01638,1638,100000,0.015611655819174694,0.01718549887984013,103.98751988950646,-0.003918904230418634,5.3710330550477e-10,0.0033833902297432587
b_tdl_d_light,mc_dlsk,9.0,0.01615,1615,100000,0.015387114361349536,0.016950058007697073,103.5230774820884,-0.0006807534682564732,5.315836065022417e-10,0.001201460929795831
