n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,qkv_attention_energy,qkv_attention_cos,shared_gap_energy,shared_gap_cos,pool_projection_energy,pool_projection_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,1029,0.0042875,54.93969168945917,5.333611055367738e-10,0.6296033095606036,2.8449073791503907,4.3924978461637565,0.0600963918457031,0.0235663752615451,0.9993653945922852,0.0681557604114214,0.9940799182256064,0.3573932299455007,0.971489194393158,0.2262957692305247,0.971489194393158,0.3171451174259185,0.9372472246487936,0.2421128526767094,0.9995890709559124,0.0036916979396094,0.9075950716336568,0.1592862930774688,0.9762395757039388,qkv,cw,-10.0,0
240000,2596,0.0108166666666666,61.6378873213314,5.337108004923598e-10,0.5677736305454629,2.7775834294637045,4.385636379341466,0.0602355255330403,0.0258495239963134,0.9974650945663452,0.0754102619886398,0.9786009605725606,0.3646809546788533,0.8922918896675109,0.2243227213382721,0.8922918896675109,0.3351504646301269,0.8124757595062256,0.2415753098169962,0.999069697380066,0.0046653314104924,0.849376594543457,0.1646357593059539,0.9311122064590454,qkv,cw,-6.0,0
240000,5108,0.0212833333333333,70.7818786568842,5.343846594161976e-10,0.4703990098438213,2.6507435694376627,4.37178413105292,0.0604046317342122,0.0314898202468951,0.9909740413029988,0.0935517681201299,0.939864758491516,0.4395750586509704,0.6805882100264231,0.2759821871439616,0.6805882100264231,0.4337617035547892,0.6679251055717468,0.2413161839167277,0.9982590970993042,0.0071048824613293,0.776332479317983,0.1934289350112279,0.8596619017918905,qkv,cw,-2.0,0
240000,6489,0.0270375,80.16952430773556,5.345087414072221e-10,0.3493869306426922,2.538340175882975,4.340788033090211,0.0608897247823079,0.0452201330304145,0.9749698804219564,0.1380436273654302,0.8778568437894185,0.7190927536964417,0.3972433493534724,0.4946833318392435,0.3972433493534724,0.7141573858579,0.5720943426291147,0.2424932392517725,0.9974004163742064,0.0132230808983246,0.6962006100018819,0.2754833693345387,0.7511857112248739,qkv,cw,2.0,0
240000,13440,0.056,88.88536888783268,5.355739662619014e-10,0.2227543403179755,2.326253704325358,4.267544420812892,0.0636403744303385,0.078211028432846,0.9497280184427898,0.2457700930356979,0.815672719637553,1.4796725757598876,0.2002574890901645,1.0919314767837525,0.2002574890901645,1.447787260945638,0.4953360663255056,0.244876306271553,0.9970557357470194,0.0285759639779726,0.6188106152216594,0.4896893750190735,0.612832407951355,qkv,cw,6.0,0
240000,51802,0.2158416666666666,96.5708248677699,5.42443123964596e-10,0.1118344487069737,1.7947482699076334,4.107318104644516,0.0726074835815429,0.1574074846188227,0.9237624650001526,0.5061945439338684,0.7728395775953929,3.288657304509481,0.0954965102473894,2.4741986342112225,0.0954965102473894,3.3482920837402346,0.4245700411796569,0.249042888379097,0.9971189138094584,0.0671163567304611,0.5521173470020294,1.0434976084391276,0.4842536715666453,qkv,cw,10.0,0
240000,884,0.0036833333333333,52.627204487014176,5.333324454798822e-10,0.6508873704627735,2.857688646952312,4.396130156231245,0.0603364188435872,0.0233888873348633,0.9993504120508828,0.0679602487564086,0.994607943534851,0.3603486133416493,0.9721141610145568,0.2319894876797994,0.9721141610145568,0.3184919143199921,0.9345348935127258,0.2420997975428899,0.9996747776667276,0.0035756337138513,0.9136678876876831,0.1596117052793502,0.9765308442115784,qkv,cw,-10.0,1
240000,1668,0.00695,57.46429405930947,5.335278407819718e-10,0.6074811373282492,2.820823182169596,4.3932438859954726,0.0604219423828125,0.0254047153820594,0.997132612546285,0.0748328429063161,0.980068477789561,0.3690157785892486,0.8993927137056986,0.234279833873113,0.8993927137056986,0.3283065170764923,0.831304859161377,0.2417379908323288,0.9992750765482584,0.0043844938813398,0.8558185243606568,0.1626295743465423,0.9384723114967346,qkv,cw,-6.0,1
240000,2482,0.0103416666666666,64.76811124262021,5.33870110805023e-10,0.5356239983442503,2.7566600346883137,4.387522277330034,0.0608815751444498,0.0303736565738916,0.9888318026860556,0.0918438352425893,0.9428333508173624,0.438386535692215,0.7217980783780416,0.2872934328397115,0.7217980783780416,0.3992916546821594,0.7158302904764812,0.2417216697057088,0.9986661427815756,0.0064164130792021,0.7817707236607869,0.1835245693047841,0.87828870900472,qkv,cw,-2.0,1
240000,2394,0.009975,73.70903095950173,5.34967532491818e-10,0.4382398177245365,2.737206547546387,4.3701119239285,0.0631889753011067,0.0424541107873121,0.9665956395467122,0.133231214304765,0.8820265305836995,0.6787483746210734,0.4856638340155284,0.4837775298118591,0.4856638340155284,0.60602958056132,0.6218489888509114,0.2424655876477559,0.9979850568771362,0.0115206079761187,0.6993981294631958,0.2442477158546447,0.7833913679122925,qkv,cw,2.0,1
240000,2147,0.0089458333333333,81.93223108375777,5.386008418023872e-10,0.3322363045107028,2.6504174245198566,4.315699135394137,0.0695813105875651,0.0715310980518659,0.9281257257461548,0.2329356972217559,0.818744373957316,1.2855184834162394,0.3033935788075129,0.9598746187527974,0.3033935788075129,1.0619062890370687,0.5332095452149709,0.2439801703135172,0.9975520111719768,0.0243421536286671,0.6195170605977376,0.3787956220626831,0.6578869299888611,qkv,cw,6.0,1
240000,12792,0.0533,90.19877303710958,5.632978860065681e-10,0.2252040915791144,2.204181718444824,4.172086090836133,0.083023545155843,0.1416273314714431,0.8842132638295491,0.4742842905839284,0.7719939850171407,2.652638997777303,0.1878996919790903,1.9283486569722488,0.1878996919790903,1.9616921550750728,0.4331031941572825,0.244901231265068,0.9975412370363872,0.0565490348219871,0.550866704305013,0.6467855983098348,0.5237780787944794,qkv,cw,10.0,1
240000,662,0.0027583333333333,54.30661614905106,5.333794727136878e-10,0.6378452029982177,2.8646797892252605,4.402168327441093,0.0590733537495931,0.0232419080495834,0.9994582002957662,0.0671883556008338,0.9966726145744323,0.3598432635307312,0.9856191453933716,0.2329647632122039,0.9856191453933716,0.3161000959237416,0.977331421216329,0.2424974058230718,0.9997890888849894,0.0037060296124468,0.8917619307835897,0.1591063301165898,0.9899877360661824,qkv,cw,-10.0,2
240000,849,0.0035375,61.31253429740816,5.335609545420791e-10,0.5733307877963385,2.827352569580078,4.403449730026092,0.0583288150227864,0.0250374127089977,0.9976623077392578,0.0729471356272697,0.9866845763524372,0.3571935785452524,0.9431895340283712,0.2253744832197825,0.9431895340283712,0.3051371219158172,0.9277547052701314,0.2419469188610712,0.999456889629364,0.0047134544273217,0.8225158476829528,0.1562996068239212,0.9682372455596924,qkv,cw,-6.0,2
240000,1512,0.0063,70.16774306212494,5.333263640398102e-10,0.4783318339828838,2.732491755167643,4.404349675476034,0.0576718711853027,0.0294655143251021,0.9909821874300638,0.0875016111850738,0.9566832389831544,0.3864225785414378,0.8102123834292094,0.2417769166469573,0.8102123834292094,0.3274882920583089,0.8376953315734863,0.2401288667122523,0.9987783048947652,0.0072449764445424,0.7389052596092224,0.1631927344719569,0.9240231448809306,qkv,cw,-2.0,2
240000,4340,0.0180833333333333,78.42969134858731,5.335819197481104e-10,0.3723316040672892,2.610931602986654,4.399284984316154,0.0578816539611816,0.0402606510957082,0.9729679967562358,0.1240496974746386,0.8988466806411743,0.5404236918767293,0.5713389595349629,0.3620332242806752,0.5713389595349629,0.4513299640337626,0.7210683612823486,0.2375540134429931,0.9979535868962606,0.0136054342081149,0.6528403897285462,0.200156443063418,0.8427761074701945,qkv,cw,2.0,2
240000,26099,0.1087458333333333,87.7078994620125,5.768220381864346e-10,0.2504229070934212,2.1902312642415365,4.371726499862277,0.0598821721293131,0.0663335061947504,0.9416452978452048,0.2139615515867869,0.831090381304423,1.0387707948684692,0.3364240457614263,0.7631504521369934,0.3364240457614263,0.8241926564534505,0.5960383208592733,0.237000125559171,0.997498063882192,0.0295846565574407,0.5761930940151214,0.3120934771378835,0.7125125258763632,qkv,cw,6.0,2
240000,103563,0.4315125,123.7046330747458,1.094062945236462e-09,0.1508458244119548,0.8738768956502279,4.276911087001403,0.0668714870808919,0.1291846016963323,0.9070514545440674,0.4317704078038533,0.7787830615838369,2.3934174995422364,0.1867439755002657,1.8046817476908368,0.1867439755002657,1.7348770980199175,0.4935600977738698,0.2381497526168823,0.9973575105667114,0.0697265712221463,0.51579105869929,0.5866812756538391,0.5750594724814098,qkv,cw,10.0,2
240000,1481,0.0061708333333333,59.72178294539897,5.333806789044454e-10,0.585663779374837,2.788277697753906,4.397965339808327,0.0596815044555664,0.0232933998783429,0.9995082186063132,0.068010180624326,0.9955230207443238,0.3673198107083638,0.9618963634173076,0.2386540350755056,0.9618963634173076,0.323543301709493,0.9534942302703856,0.2425656206766764,0.9996626785596212,0.0041605513257284,0.8653929564158122,0.1614223150412241,0.9768552289009096,qkv,cw,-10.0,3
240000,2452,0.0102166666666666,66.94624125130176,5.333244162977395e-10,0.5127929374077339,2.6451293874104818,4.394329650397721,0.0598069034830729,0.0251761290838321,0.9980261713663736,0.0750043127655983,0.9829221561749776,0.3902238043785095,0.8517539793650309,0.2535753216584523,0.8517539793650309,0.3527187896728516,0.8793169614473979,0.2414068326950073,0.9991043303807576,0.0058543148207167,0.7897814316749573,0.1700599856376648,0.9366439426740012,qkv,cw,-6.0,3
240000,2511,0.0104625,74.07570620929948,5.335164465760522e-10,0.4305513122463803,2.55488139368693,4.385382396520378,0.0602911450195312,0.0298352721681197,0.9926452989578248,0.0924403611938158,0.9477576805750528,0.510771936861674,0.6070553790728251,0.352077052561442,0.6070553790728251,0.5179172609011332,0.7561094276905059,0.2383861229658126,0.9981892199516296,0.0101093467036883,0.704977055867513,0.2176398328145345,0.8436355961163838,qkv,cw,-2.0,3
240000,2773,0.0115541666666666,82.15207592738588,5.351981045499965e-10,0.3207702079617728,2.69935573018392,4.360338581983149,0.0622205943400065,0.0411934489289919,0.9781503539085388,0.1351417325655619,0.8856470812161763,0.901487064743042,0.3569819966952006,0.6729263394991557,0.3569819966952006,1.0410556544621783,0.6193203605016072,0.2356067967096964,0.9976308304468792,0.0207982805758714,0.6227008706728617,0.3690106956005096,0.6959063891569773,qkv,cw,2.0,3
240000,22077,0.0919875,90.51926166955452,5.365080915283807e-10,0.2109822296770721,2.192691121419271,4.291169859026507,0.0674501546223958,0.0684776523550351,0.9528323979377746,0.2380948816935221,0.8184931497573853,1.857095846939087,0.198919061144193,1.3766379065831502,0.198919061144193,2.2595269201914467,0.5050503749052684,0.2335696356693903,0.9973570399284364,0.0476488997300465,0.552331292629242,0.723680269018809,0.5535565625826517,qkv,cw,6.0,3
240000,102046,0.4251916666666667,93.8260509839922,5.555185656564589e-10,0.1604206461183384,0.5639631670633952,4.139550323051198,0.0780098504638671,0.1338603469292322,0.9238646589914956,0.4861287613868713,0.7695708031654358,4.14125742111206,0.1023120498557885,2.849215193684896,0.1023120498557885,5.196262497965495,0.4133411876360575,0.2338074556112289,0.9972909835179646,0.11509655859073,0.4980464802583059,1.5811411232630412,0.4369396866162618,qkv,cw,10.0,3
240000,1391,0.0057958333333333,55.859060603596205,5.334120068903667e-10,0.6228478673105975,2.8213708084106446,4.394888013786315,0.0603943150431315,0.0235287716140349,0.9993149689038594,0.0672687996645768,0.997107658545176,0.3558940997759501,0.981495982170105,0.2277413194497426,0.981495982170105,0.2736388055642446,0.9756544580459596,0.2424678866704305,0.999747326374054,0.0037686695732176,0.8924419306119283,0.1471538614432017,0.9877328713734944,qkv,cw,-10.0,4
240000,2775,0.0115625,62.88556415452703,5.337270626187894e-10,0.5564920014412832,2.7013303588867186,4.3864156003535335,0.0613424290568033,0.0257665673464536,0.9973244072596232,0.0732413000941276,0.9887763536771138,0.3523524967352549,0.9148162121772766,0.2167531328598658,0.9148162121772766,0.218620212984085,0.8839211543401082,0.2419574018796285,0.9992937812805176,0.004868596793587,0.8236610800425211,0.1319777918895085,0.9479565711021424,qkv,cw,-6.0,4
240000,4635,0.0193125,70.6465934255422,5.344103160294399e-10,0.4741391078434149,2.487082002766927,4.364670283857546,0.0638180349324544,0.0313083885987599,0.9907137036323548,0.088451233335336,0.96441765610377,0.4049253618717193,0.6905185748736064,0.2480972237904866,0.6905185748736064,0.224723416519165,0.6347047719160716,0.2408928866783778,0.998414732615153,0.007631186294804,0.7404613361358643,0.1346032191594441,0.8260996588865916,qkv,cw,-2.0,4
240000,6901,0.0287541666666666,77.04185469068781,5.37401535503296e-10,0.3895494810216603,2.535182127888997,4.31374984688599,0.0693928229370117,0.0448380602459112,0.9749934852917987,0.126707116818428,0.9194351391792296,0.6885572815259298,0.3716707942485809,0.4696662597497304,0.3716707942485809,0.5659272386233012,0.3250834987560908,0.2394936304807663,0.9976807023684184,0.0145700176005562,0.6542097326914469,0.2334333376407623,0.5854721503257752,qkv,cw,2.0,4
240000,81280,0.3386666666666666,83.80249924542795,5.542017640854407e-10,0.2977583510438607,2.054436434936524,4.21317477846068,0.0780807449239095,0.0773865557392438,0.9510666507085164,0.2208762817700704,0.8699802927970887,1.6006523980458578,0.1602842459181944,1.1956024819056192,0.1602842459181944,1.9615969729105631,0.16808265542984,0.2391122565587361,0.9974308867454528,0.0319988140652577,0.5769205111662546,0.6344197123209635,0.3537314621210098,qkv,cw,6.0,4
240000,119987,0.4999458333333333,100.78026765122232,9.939544005577547e-10,0.1937630414081217,1.2763652581532796,4.032806318266786,0.0901817516886393,0.1555100117524465,0.9270896056493124,0.4502448613166809,0.834077496210734,4.081081268310547,0.0527559100482612,3.1316828548431395,0.0527559100482612,5.8936499346415205,0.1233382873833179,0.2415716648181279,0.99772146320343,0.0757767657756805,0.5158673223654429,1.762802119700114,0.2336875665982564,qkv,cw,10.0,4
240000,874,0.0036416666666666,57.23874850019117,5.331868335357124e-10,0.609275723974479,2.857226646931966,4.396906452476334,0.0595666370442708,0.0235524992853403,0.9991563682556152,0.068245868808031,0.997723934173584,0.3557830040295919,0.986875631570816,0.2263616745154062,0.986875631570816,0.2867321427822113,0.9850317294597626,0.2426029426256815,0.99972584605217,0.0037630534189442,0.8698641023635865,0.1508810059865315,0.9912675569057464,qkv,barrage,-10.0,0
240000,1660,0.0069166666666666,66.35506840697691,5.332805093554389e-10,0.5189387301793823,2.8167869883219403,4.390119054057135,0.0599843991902669,0.0258109293679396,0.997697952747345,0.0755355948487917,0.9939291024208068,0.3443418446222941,0.9607043676376342,0.2064268690427144,0.9607043676376342,0.2332346078077952,0.9561803344488145,0.2424404813766479,0.999393625497818,0.0048559013741711,0.782754005908966,0.1362288097699483,0.9731224085092544,qkv,barrage,-6.0,0
240000,5694,0.023725,77.37197264488579,5.33489307467936e-10,0.3856953092038875,2.62885167388916,4.371047583226528,0.0617532068481445,0.0313670805513858,0.9940432291030884,0.0934743533651034,0.9857558929920196,0.3459752095063527,0.8780209950208664,0.1856820780674616,0.8780209950208664,0.1641252723932266,0.8712367558479309,0.2424025347073873,0.998795963525772,0.0076015345143775,0.6815339552164078,0.1179309765497843,0.9242322083711624,qkv,barrage,-2.0,0
240000,23059,0.0960791666666666,86.48025916165096,5.34174110421432e-10,0.2404946288859824,2.014541283671061,4.320007874202103,0.0671436302490234,0.044849814124902,0.9868060241937636,0.1368715998252233,0.9733022912740708,0.4230841952959696,0.6840196840763092,0.2003236757278442,0.6840196840763092,0.1132486755212148,0.6851979860067368,0.2429447252829869,0.9980155876874924,0.0144990822419524,0.5851339108943939,0.1067479592283566,0.8368880188465119,qkv,barrage,2.0,0
240000,59404,0.2475166666666666,92.39742364518996,5.36553913294059e-10,0.1229430828017747,1.007779887898763,4.190424224488845,0.0804066399536132,0.0772573926885922,0.9765398457050324,0.240813345726331,0.9606124515533448,0.7701401206970215,0.4296029569283128,0.3421074351787567,0.4296029569283128,0.1239708297729492,0.4241611449718475,0.2442860854466756,0.9973978509902954,0.0318262525449196,0.5086056838035583,0.1177059109648068,0.7270322140455246,qkv,barrage,6.0,0
