n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,qkv_attention_energy,qkv_attention_cos,shared_gap_energy,shared_gap_cos,pool_projection_energy,pool_projection_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_q05,ber_q95,margin_mean_std,realization,n_realizations
80000.0,201.0,0.0025125,48.144719056156454,5.31551357633689e-10,0.6874771998805642,2.8720239723205565,4.400761994514299,0.05957260025787354,0.022022398161888123,1.0,0.06332703403830528,1.0,0.37018300194740295,1.0,0.24619969515800477,1.0,0.33944782066345214,1.0,0.2428401659488678,1.0,0.0030418646555393936,1.0,0.1654959263563156,1.0,qkv,clean,,,,,,,,,,
80000.0,366.6,0.0045825,56.851101625015964,5.317866476149161e-10,0.6146011197957235,2.83523834429423,4.397833343321058,0.05989509219462077,0.023395067046880724,0.9993133749537999,0.06771290404319763,0.9955776613765291,0.3597979480520884,0.975219024149577,0.23128169229507448,0.975219024149577,0.30912992148717244,0.9568747250239055,0.24239468187808988,0.9996812780698142,0.003770229599997401,0.8945194819450377,0.15714020896752676,0.9819481209966873,qkv,cw,-10.0,0.0013193022145563667,0.00035259834832014635,0.003891419936284204,0.005273580063715796,0.0027199999999999998,0.00663625,0.027222453473796336,7.0,15.0
80000.0,727.4,0.009092500000000002,63.440224738962776,5.319950718382258e-10,0.552200390973342,2.75184926322937,4.3943667891977265,0.059967053748575846,0.025442540304660796,0.9973444244172838,0.07431954314549764,0.9834584256807963,0.36677083679835004,0.9022314241833159,0.23101803132057183,0.9022314241833159,0.307798119503657,0.8695985831949444,0.2417305868577957,0.9992242454422845,0.004869964704712232,0.8294450660864513,0.15705710793972014,0.9450775689866808,qkv,cw,-6.0,0.0035932656920040482,0.0009603406513663088,0.007210266910432301,0.010974733089567703,0.00351125,0.013696249999999993,0.06903033099530115,7.0,15.0
80000.0,1252.6,0.0156575,70.96512248018874,5.324202640509902e-10,0.4692431777179238,2.6195354556274415,4.385577162483325,0.060461665798950195,0.030496280205249787,0.9905129973093667,0.09084847112496693,0.9505699116071066,0.4378713043530782,0.7032716439247132,0.28273714532852173,0.7032716439247132,0.3816380530452729,0.7222009932306079,0.24043782436847688,0.998446786435445,0.0076315146494408456,0.7506305683877732,0.17871531408468883,0.8668254381815593,qkv,cw,-2.0,0.011578997509859535,0.0030946172545859288,0.009592161635075362,0.02172283836492464,0.005963749999999999,0.03790999999999998,0.12015642064374407,7.0,15.0
80000.0,1828.8666666666666,0.022860833333333337,78.65774553077863,5.340143729337851e-10,0.36898551365137877,2.596775854670207,4.361493782826566,0.06236342912038168,0.04280065851291021,0.9730781863212585,0.13160117021004358,0.8932449041896396,0.7141269791730245,0.4370004270129734,0.5042273832352956,0.4370004270129734,0.6834030894851685,0.5723562517589993,0.23951744008382161,0.9977021264817981,0.014566851870814959,0.6677816138850318,0.26655961437543235,0.7329364971531761,qkv,cw,2.0,0.02613501238228561,0.006984875866686241,0.009170728198145312,0.036550938468521366,0.01008125,0.06680874999999993,0.1799524132441533,7.0,15.0
80000.0,8209.4,0.1026175,88.05231444469938,5.464052699616149e-10,0.2545084260752908,2.2657749356333414,4.29941985204195,0.06708029181009927,0.07239339548667272,0.9441074334038626,0.23058150833924612,0.8314004706647661,1.4818529422823588,0.24198928039272624,1.105534686196645,0.24198928039272624,1.556047466583252,0.46323765739467404,0.23981865612347922,0.997380707083808,0.03198547187407812,0.5915280478927823,0.5202730992730459,0.5805030288113487,qkv,cw,6.0,0.12526463460743154,0.03347838181288821,0.03700107738605837,0.16823392261394163,0.01080875,0.35454624999999995,0.3633987604256631,7.0,15.0
80000.0,22516.4,0.281455,102.18755119770003,7.189334299532897e-10,0.1618949923146247,1.3548740806388855,4.155922307252662,0.07762459044952393,0.1434982225052516,0.9123882064501444,0.47016054079691566,0.7861104195594789,3.3909280810292564,0.12860829729239145,2.511885507672628,0.12860829729239145,3.8115340130742386,0.38403303537103867,0.24126248055458072,0.9974627966562909,0.07573564418792725,0.5290084339724647,1.1756687463728588,0.45509929735395643,qkv,cw,10.0,0.1822307662919007,0.04870322091382614,0.18599844107780286,0.3769115589221972,0.02770375,0.5019275,0.6111897918470365,7.0,15.0
80000.0,296.26666666666665,0.0037033333333333337,57.550064912433236,5.316554603515274e-10,0.606759962676776,2.8572494268544513,4.396922047825789,0.05959312276865642,0.02353412702778975,0.9991421809090508,0.06818956024805706,0.9977517997635735,0.3552550245857239,0.9869847180366517,0.22587639499346415,0.9869847180366517,0.28603958565076193,0.9858512637456257,0.24262837671915694,0.9997254140959845,0.003765008699918787,0.8712934983147513,0.150693767768542,0.9913304729037815,qkv,barrage,-10.0,0.00014328487552967885,3.8294493781329115e-05,0.0036282775047157354,0.003778389161950932,0.00350875,0.0038875,0.0007098984639988207,7.0,15.0
80000.0,559.2666666666667,0.006990833333333333,66.62921860574649,5.317804493515577e-10,0.5164489109986956,2.8167924504089354,4.39014604059299,0.06000677311350504,0.025790824212431906,0.9976663816663953,0.07547332964976629,0.9940283493147957,0.3438933526611329,0.961312707795037,0.20602770797411601,0.961312707795037,0.2326300817616781,0.9580360321150885,0.24246759914398197,0.9993903490172493,0.00485721916248401,0.7857008347776201,0.13606659115950268,0.9732769357045492,qkv,barrage,-6.0,0.0002681909560162104,7.167704797457276e-05,0.006850348900785021,0.007131317765881645,0.00650125,0.00735375,0.0009588947804247562,7.0,15.0
80000.0,1904.8,0.023809999999999998,77.62354452457166,5.320658371149382e-10,0.3831027934728847,2.6290007514699303,4.371105749961643,0.06176594254302979,0.03134239308794339,0.9939766375329759,0.09339664860963821,0.9859424072159662,0.3456177946440378,0.8804676616138882,0.1853907251389821,0.8804676616138882,0.16371214357693992,0.8746765707121954,0.24243216921806335,0.9987854335784913,0.007600083708912134,0.6846573371887207,0.11782222129503886,0.9249334748268129,qkv,barrage,-2.0,0.00036711714751561276,9.811618477236935e-05,0.023617695811545675,0.02400230418845432,0.023155,0.02429125,0.001769500922073592,7.0,15.0
80000.0,7687.2,0.09609,86.6021621169793,5.328322424098771e-10,0.23968260159450136,2.0169216814168296,4.320150795476989,0.06713369953918455,0.04481348729054133,0.986690489768982,0.13675545615196227,0.9735896276474,0.4227817116864523,0.6876256215837266,0.20015006955146789,0.6876256215837266,0.11314306158463161,0.6911982332494523,0.2429742769098282,0.997998973083496,0.014488827080925304,0.5874290847831302,0.10672204196612038,0.8400120381620194,qkv,barrage,2.0,0.0010870564229453167,0.00029052804962524296,0.09552057548623585,0.09665942451376414,0.0945775,0.09814625,0.003800820897313892,7.0,15.0
80000.0,19779.2,0.24724,92.44976102733732,5.354952805814326e-10,0.12357250119325229,1.0113984030087788,4.190755159045378,0.08036403611551919,0.07719216563860573,0.9763612435340882,0.24060284826755524,0.9609830590989854,0.7695015842437745,0.4350067684398757,0.3418909870306651,0.4350067684398757,0.12403123147567112,0.4307680430412292,0.2443172436873118,0.9973720613585577,0.03179095032314459,0.5096766019264857,0.11771632761478425,0.7325240692456564,qkv,barrage,6.0,0.0014095891836512708,0.000376728555808959,0.24650162559866665,0.24797837440133333,0.24523375,0.24936875,0.005183365978257161,7.0,15.0
80000.0,30580.533333333333,0.38225666666666663,99.09095592373492,5.596771458632321e-10,0.056858917363251875,0.35636511036554974,3.8842211214044857,0.10643781234741212,0.15507130921045942,0.965693473625183,0.4900339864412943,0.9516671157942876,2.1363717336273194,0.2521652858691083,0.8637806062316895,0.2521652858691083,0.2977136328093211,0.26250080284443167,0.24587520589987438,0.9971958042674595,0.07524935495932897,0.4553451035658517,0.18607652842998504,0.5852612003750272,qkv,barrage,10.0,0.001877037041604554,0.0005016592508548561,0.38127343260247976,0.3832399007308535,0.37959625,0.38461375000000003,0.004848368823316565,7.0,15.0
80000.0,426.8666666666667,0.005335833333333333,57.42299816494372,5.316191848208106e-10,0.6078101704753908,2.834449603296916,4.3965973653981125,0.059721775772603354,0.023523924992680554,0.9994640554851955,0.06815228995164237,0.9968298872417873,0.36307254822095236,0.9758581253369648,0.23381593216896057,0.9758581253369648,0.28769169322013854,0.9640518666585287,0.2426303359397253,0.9997087004873487,0.0038057230886320275,0.8740798323207432,0.15117787041823066,0.9820550299008687,qkv,partial_band,-10.0,0.0020495012943532276,0.0005477522612299648,0.0042622586288722265,0.00640940803779444,0.002975,0.008442499999999999,0.02272866248963483,7.0,15.0
80000.0,945.2666666666667,0.011815833333333336,65.4701251058698,5.317580213484867e-10,0.5287891374756715,2.7354510993448886,4.3894237117224995,0.060290798158772786,0.02575864905953407,0.9979721238454182,0.07545064592202505,0.9889312216440838,0.37617087924639386,0.9038099734094409,0.2383519136079153,0.9038099734094409,0.26650188219706217,0.8807802654796179,0.2424330557012558,0.9992882046169707,0.004961398813898363,0.7925985644711387,0.14565204621473946,0.942900021627214,qkv,partial_band,-6.0,0.007892365069412901,0.002109323290077529,0.007681635653029846,0.015950031013636824,0.00424625,0.026792499999999993,0.07568194635135114,7.0,15.0
80000.0,1779.4666666666667,0.022243333333333337,74.49448855509995,5.321387455496934e-10,0.4250130802731608,2.5538674650319417,4.369693135955992,0.06232052737426756,0.031239206084012983,0.9931421341472202,0.09359423929929732,0.96811290696462,0.46520070605913794,0.7059413701534271,0.30344628111521404,0.7059413701534271,0.29860630289872486,0.7317315026389227,0.24209714193026224,0.9985798238012525,0.007864797958185276,0.6964044060866038,0.15587504636526106,0.8698774881892735,qkv,partial_band,-2.0,0.0180728951440794,0.004830184401159685,0.012776345868373187,0.03171032079829349,0.007243749999999999,0.057417499999999976,0.15328833996649133,7.0,15.0
80000.0,3095.9333333333334,0.038699166666666666,81.924736681361,5.335540485934864e-10,0.3222562472539327,2.3782567007191977,4.317992510838315,0.06812710074717203,0.0445185113354524,0.9815877305348715,0.13809599372704823,0.9305755884276495,0.8191276139450072,0.44161644660764277,0.5837421917152404,0.44161644660764277,0.5008277328459422,0.5608449050956302,0.2419800766992569,0.997853236802419,0.015158556477924188,0.6021413292090098,0.2160369905948639,0.7458908350043827,qkv,partial_band,2.0,0.0338482097220649,0.009046314566831262,0.020968715922857338,0.056429617410475995,0.01271875,0.09672499999999994,0.2315048247039248,7.0,15.0
80000.0,11683.533333333333,0.14604416666666664,90.14952594416606,5.410308134375867e-10,0.211009213472375,1.9892708081118262,4.1918582385521175,0.08147595228373208,0.07648542985280354,0.9626755735927158,0.2462224587456385,0.8858774714046055,1.981096277287801,0.24498751895527046,1.4851824262301128,0.24498751895527046,1.2315914575831095,0.4160308362907834,0.2429076675987244,0.9974361546092563,0.033480837541619936,0.5241050752268899,0.4303195880444844,0.5703699444240994,qkv,partial_band,6.0,0.13624055440245714,0.036411819768437916,0.07467831130896477,0.21741002202436852,0.0300525,0.39874249999999994,0.5082378090255513,7.0,15.0
80000.0,25098.8,0.31373500000000004,110.77812591048614,6.031474204713968e-10,0.11392710028140922,1.2124554490947723,3.9113784923857207,0.10588565758463542,0.15361196757475534,0.9412756466123793,0.50874119389534,0.8490346447467805,5.619899883753459,0.13309673808117706,4.110832747751871,0.13309673808117706,3.5286902815500896,0.32054059161080256,0.24474105178833008,0.9973641785091825,0.07950620925744374,0.4674784054146872,1.0985494259707134,0.4131296290265189,qkv,partial_band,10.0,0.1411151355572227,0.03771460638166345,0.2398157298008352,0.3876542701991649,0.14797625,0.50102375,0.5745796872576853,7.0,15.0
