jammer,jsr_db,ber_clean_trained,ber_jam_aware,margin_mean_clean_trained,margin_mean_jam_aware
clean,,0.0020666666666666,0.0024041666666666,2.85046431833903,2.872782358296712
cw,-10.0,0.0029166666666666,0.0031041666666666,2.8388937133789063,2.8552018447875978
cw,-6.0,0.1231916666666666,0.0110625,2.126939395650228,2.7175594350179035
cw,-2.0,0.383575,0.0110791666666666,0.7031322471618653,2.740850794474284
cw,2.0,0.4988041666666666,0.0734791666666666,0.0224906820058822,2.0618221682230637
cw,6.0,0.5,0.0237166666666666,-0.0053378972133,2.060219827270508
cw,10.0,0.5,0.4997,0.0033418267091115,0.835530555343628
barrage,-10.0,0.0032791666666666,0.003825,2.83548989054362,2.8571042658487955
barrage,-6.0,0.0065416666666666,0.007,2.80242133585612,2.817022900899252
barrage,-2.0,0.02215,0.0238583333333333,2.6637648310343423,2.6288894694010416
barrage,2.0,0.0906791666666666,0.0956625,2.166123043314616,2.01552771097819
barrage,6.0,0.2425666666666666,0.247425,1.281313765970866,1.009694252649943
barrage,10.0,0.38185,0.3827833333333333,0.609209809366862,0.3542197083791097
partial_band,-10.0,0.0116708333333333,0.0053583333333333,2.7771107279459635,2.8214289388020832
partial_band,-6.0,0.086925,0.0112291666666666,2.330636168162028,2.7134697479248047
partial_band,-2.0,0.2381166666666666,0.0142833333333333,1.4989255165100095,2.5981470916748046
partial_band,2.0,0.4978416666666667,0.0579291666666666,0.0311840974728266,2.243943789672852
partial_band,6.0,0.4999958333333333,0.0496416666666666,0.0029807974616686,2.203237146759033
partial_band,10.0,0.4854458333333333,0.1862666666666666,0.093179921166102,1.300120892842611
