snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db
-1.0,923,40000,0.023075,0.357070732704904,qkv,partial_band,-10.0
3.0,201,40000,0.005025,0.5042278808404556,qkv,partial_band,-10.0
7.0,67,40000,0.001675,0.6111079663943372,qkv,partial_band,-10.0
11.0,29,40000,0.000725,0.6650133232519867,qkv,partial_band,-10.0
15.0,40,40000,0.001,0.6887443491069126,qkv,partial_band,-10.0
21.0,26,40000,0.00065,0.6939246112404174,qkv,partial_band,-10.0
-1.0,1788,40000,0.0447,0.32656118954769997,qkv,partial_band,-6.0
3.0,516,40000,0.0129,0.449204796326409,qkv,partial_band,-6.0
7.0,163,40000,0.004075,0.530588847996697,qkv,partial_band,-6.0
11.0,80,40000,0.002,0.5639872345333248,qkv,partial_band,-6.0
15.0,86,40000,0.00215,0.5821810857868912,qkv,partial_band,-6.0
21.0,62,40000,0.00155,0.5843129375777824,qkv,partial_band,-6.0
-1.0,2438,40000,0.06095,0.28381250286631243,qkv,partial_band,-2.0
3.0,584,40000,0.0146,0.375172959248314,qkv,partial_band,-2.0
7.0,151,40000,0.003775,0.4266294457694144,qkv,partial_band,-2.0
11.0,110,40000,0.00275,0.4431908917306799,qkv,partial_band,-2.0
15.0,75,40000,0.001875,0.4583004371203949,qkv,partial_band,-2.0
21.0,70,40000,0.00175,0.4581083958634472,qkv,partial_band,-2.0
-1.0,5066,40000,0.12665,0.23704196127709776,qkv,partial_band,2.0
3.0,2337,40000,0.058425,0.30504018259101734,qkv,partial_band,2.0
7.0,1703,40000,0.042575,0.3540446390026854,qkv,partial_band,2.0
11.0,1672,40000,0.0418,0.36187497817495523,qkv,partial_band,2.0
15.0,1564,40000,0.0391,0.3694279935170019,qkv,partial_band,2.0
21.0,1561,40000,0.039025,0.37696747970960914,qkv,partial_band,2.0
-1.0,3985,40000,0.099625,0.1840039843747874,qkv,partial_band,6.0
3.0,2114,40000,0.05285,0.22376651802185002,qkv,partial_band,6.0
7.0,1523,40000,0.038075,0.2381805706303491,qkv,partial_band,6.0
11.0,1470,40000,0.03675,0.24749492437130222,qkv,partial_band,6.0
15.0,1457,40000,0.036425,0.2488166619475353,qkv,partial_band,6.0
21.0,1365,40000,0.034125,0.24857142660499001,qkv,partial_band,6.0
-1.0,9436,40000,0.2359,0.12570340414254977,qkv,partial_band,10.0
3.0,7793,40000,0.194825,0.14165855479185427,qkv,partial_band,10.0
7.0,7011,40000,0.175275,0.1509767870416349,qkv,partial_band,10.0
11.0,6887,40000,0.172175,0.15624277019200294,qkv,partial_band,10.0
15.0,6806,40000,0.17015,0.15407553472121507,qkv,partial_band,10.0
21.0,6771,40000,0.169275,0.15474725039240408,qkv,partial_band,10.0
