arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
mc_dlsk,fh_off,omniscient,barrage,partial_band,-2.0,0.14858,0.09969921388857587,0.044586843911629356,0.06119139174889748,0.2359686082511025,0.0514,0.29075,0.05198,0.1732,0.26725,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,partial_band,2.0,0.37139,0.11246267936520099,0.05029483919847046,0.27281392656276454,0.46996607343723545,0.2264,0.4797,0.23631,0.43655,0.47143,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,partial_band,6.0,0.48678,0.020570841013434545,0.00919955977207606,0.4687491941731074,0.5048108058268925,0.45085,0.4989,0.45831,0.49725,0.49887000000000004,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,partial_band,10.0,0.5001,0.00199624647776771,0.0008927485648266244,0.49835024496568997,0.50184975503431,0.4973,0.5029,0.49778,0.5002,0.5024,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,partial_band,-10.0,0.00383,0.0029488557102713584,0.0013187683648010365,0.0012452615010391894,0.006414738498960811,0.00185,0.00895,0.0018700000000000001,0.0028,0.007879999999999998,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,partial_band,-6.0,0.02657,0.024904080990873764,0.01113744360255081,0.004741011659154384,0.04839898834084562,0.00815,0.06895,0.008249999999999999,0.0218,0.06021999999999999,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,partial_band,-2.0,0.14858,0.09969921388857587,0.044586843911629356,0.06119139174889748,0.2359686082511025,0.0514,0.29075,0.05198,0.1732,0.26725,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,partial_band,2.0,0.37139,0.11246267936520099,0.05029483919847046,0.27281392656276454,0.46996607343723545,0.2264,0.4797,0.23631,0.43655,0.47143,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,partial_band,6.0,0.48678,0.020570841013434545,0.00919955977207606,0.4687491941731074,0.5048108058268925,0.45085,0.4989,0.45831,0.49725,0.49887000000000004,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,partial_band,10.0,0.5001,0.00199624647776771,0.0008927485648266244,0.49835024496568997,0.50184975503431,0.4973,0.5029,0.49778,0.5002,0.5024,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_on,model,barrage,partial_band,-10.0,0.00347,0.0029978325503603434,0.0013406714735534578,0.0008423321967349798,0.00609766780326502,0.00135,0.00865,0.0013700000000000001,0.00295,0.0075099999999999984,1.0,0.0007199999999999999,100000.0,1,10.0,8,5
mc_dlsk,fh_on,model,barrage,partial_band,-6.0,0.024329999999999997,0.022877816766466153,0.01023127069332055,0.004277077925011578,0.044382922074988417,0.00545,0.0619,0.00562,0.0236,0.05439999999999999,1.0,0.0007199999999999999,100000.0,1,10.0,8,5
mc_dlsk,fh_on,model,barrage,partial_band,-2.0,0.14665,0.10069001936637016,0.045029945591794796,0.05839292841428405,0.23490707158571594,0.0455,0.2885,0.04698,0.1716,0.26575,1.0,0.0007199999999999999,100000.0,1,10.0,8,5
mc_dlsk,fh_on,model,barrage,partial_band,2.0,0.37292000000000003,0.10955590810175414,0.04899489157044844,0.276891777095476,0.46894822290452404,0.2316,0.4779,0.24128,0.4337,0.47059999999999996,1.0,0.0007199999999999999,100000.0,1,10.0,8,5
mc_dlsk,fh_on,model,barrage,partial_band,6.0,0.4869,0.01948858640332848,0.008715560796644123,0.4698178147335083,0.5039821852664917,0.4534,0.4989,0.45992,0.4973,0.4989,1.0,0.0007199999999999999,100000.0,1,10.0,8,5
mc_dlsk,fh_on,model,barrage,partial_band,10.0,0.50003,0.0020370321548762965,0.0009109884741312557,0.49824449540037163,0.5018155045996283,0.4973,0.503,0.49778,0.49975,0.50248,1.0,0.0007199999999999999,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,fixed_partial,cw,-10.0,0.00615,0.006823214052043216,0.0030514340890800836,0.0001692990842052499,0.01213070091579475,0.00055,0.01785,0.00088,0.0049,0.01533,1.0,0.00101,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,fixed_partial,cw,-6.0,0.043840000000000004,0.0411135227145522,0.01838652631684408,0.0078030706181877255,0.07987692938181229,0.00075,0.10735,0.00406,0.0383,0.09698,1.0,0.00101,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,fixed_partial,cw,-2.0,0.21885,0.153617532365287,0.06869984898091115,0.08420077025407344,0.3534992297459265,0.0035,0.39405,0.02809,0.2848,0.37233,1.0,0.00101,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,fixed_partial,cw,2.0,0.39127,0.19820290928742695,0.08863903570098221,0.21754068240171484,0.5649993175982851,0.03895,0.499,0.11963000000000001,0.4821,0.49799,1.0,0.00101,100000.0,1,10.0,8,5
