jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.022842823414882384,0.0068679904383336125,0.015504510520953045,0.034992398988884774,62.095007750065385,2.0038338092734724,5.320406193186094e-10,3.4072861897708174e-13,5
-8.0,0.04195267014442919,0.02032402459649908,0.01981200943615633,0.0763589461134104,66.8612246653964,2.6696621921227615,5.322830569740832e-10,1.4298613571606288e-12,5
-6.0,0.08815152783809443,0.04869009492612019,0.033339839015929545,0.16716889880952382,73.03620655721679,3.8690485680772904,5.340951329666256e-10,1.5959666317224635e-12,5
-4.0,0.17698046919724608,0.09085127875651017,0.06589526878583273,0.3089657738095238,78.90474094232842,3.1406241726598836,5.343755387952755e-10,1.8670190924302074e-12,5
-2.0,0.28939873866213156,0.11704083395448071,0.1293624220521542,0.4267113095238095,85.32498520324566,2.1615988876112713,5.370452879964892e-10,4.566620250337025e-12,5
0.0,0.3835119047619048,0.09701028391791638,0.23294270833333336,0.47265625,90.78591064910182,2.14612930336542,5.426039716593209e-10,5.705627754856969e-12,5
2.0,0.4459635416666667,0.05145151154811708,0.3549107142857143,0.48716517857142855,95.83494003167425,2.1588204089453584,5.481823384384117e-10,4.298537993664795e-12,5
4.0,0.4769903273809524,0.02330370624523886,0.4304315476190476,0.4896763392857143,100.45920060771358,2.4185719636051624,5.528446059667572e-10,1.1339868856886763e-12,5
6.0,0.48716517857142855,0.01236272679111427,0.46456473214285715,0.5025111607142857,105.12220465740513,2.5164850199865474,5.557210890808875e-10,2.5350800011130827e-12,5
8.0,0.49157366071428565,0.00878334741909748,0.4810267857142857,0.5078125,109.89040783081415,2.608435583655345,5.612309737255817e-10,3.881600156105355e-12,5
10.0,0.4931919642857143,0.007894972849922926,0.48800223214285715,0.5089285714285714,115.87336977512487,3.0106421551457845,5.708866929538986e-10,6.880832607830691e-12,5
