jsr_db,realization,ber,mse_tau,mse_fd
-10.0,0,0.01702303417779065,59.62881986900913,5.315361834127779e-10
-8.0,0,0.02290350863809055,63.580658962760246,5.317353606258894e-10
-6.0,0,0.04013375113826141,68.2917327281476,5.325362924139266e-10
-4.0,0,0.08399033612896914,75.49061458890374,5.332016252761586e-10
-2.0,0,0.17272799744897963,82.55678841826692,5.304354729483911e-10
0.0,0,0.30403645833333337,89.08274604465684,5.382352581136535e-10
2.0,0,0.4226190476190476,93.78866126499294,5.504365187705215e-10
4.0,0,0.48660714285714285,98.53115247668318,5.519602522811221e-10
6.0,0,0.5025111607142857,102.45361591591083,5.552234324591436e-10
8.0,0,0.5078125,106.4498320075137,5.604051535377386e-10
10.0,0,0.5089285714285714,111.13771725382537,5.699203658702782e-10
-10.0,1,0.023396739867156183,63.40920857380979,5.323170717028756e-10
-8.0,1,0.043693626436843436,68.2516241685696,5.320070283356453e-10
-6.0,1,0.09719874929138324,76.32212855001669,5.360988897019585e-10
-4.0,1,0.20153459821428574,81.76941792587697,5.363203909336101e-10
-2.0,1,0.3404017857142857,87.39745405208271,5.378905678513373e-10
0.0,1,0.4441034226190476,92.83183142038479,5.470230696879511e-10
2.0,1,0.4790736607142857,98.22709517421741,5.509493188451809e-10
4.0,1,0.48911830357142855,103.22917760057281,5.533398540794558e-10
6.0,1,0.48911830357142855,107.90271312789743,5.56442609963872e-10
8.0,1,0.4896763392857143,112.50315468358565,5.615052821661969e-10
10.0,1,0.4896763392857143,117.83216106076472,5.709350796003503e-10
-10.0,2,0.034992398988884774,63.81772385422626,5.325093537010616e-10
-8.0,2,0.0763589461134104,69.78851979388293,5.350716527412111e-10
-6.0,2,0.16716889880952382,75.57832228528063,5.337726148435023e-10
-4.0,2,0.3089657738095238,80.67904550524267,5.36796743311329e-10
-2.0,2,0.4267113095238095,85.40624400764023,5.431600801702907e-10
0.0,2,0.47265625,90.1042682037481,5.481680722040579e-10
2.0,2,0.48716517857142855,95.14183478683051,5.50661300129841e-10
4.0,2,0.48911830357142855,99.68741567923118,5.547045614720537e-10
6.0,2,0.4896763392857143,104.36479800172391,5.600388520962227e-10
8.0,2,0.4896763392857143,108.92063542569842,5.680138122880585e-10
10.0,2,0.4896763392857143,114.44685675475314,5.833235023933236e-10
-10.0,3,0.023297433519627268,63.947039611046925,5.319415282167888e-10
-8.0,3,0.04699526009764524,68.97261115247497,5.31036302212642e-10
-6.0,3,0.10291640093537416,76.64719243077113,5.35791633277272e-10
-4.0,3,0.22451636904761907,81.86699348452956,5.335891457010346e-10
-2.0,3,0.37779017857142866,87.99961486020756,5.402178397661748e-10
0.0,3,0.4638206845238095,93.73210864641128,5.46019124946895e-10
2.0,3,0.48604910714285715,98.5435284255257,5.491955988359245e-10
4.0,3,0.4896763392857143,103.3617465125155,5.514530008017381e-10
6.0,3,0.48995535714285715,108.2759284743561,5.545476887526616e-10
8.0,3,0.4896763392857143,113.31898410031035,5.602548498539666e-10
10.0,3,0.4896763392857143,119.9983519709806,5.678454156416297e-10
-10.0,4,0.015504510520953045,59.67224684223482,5.318989595595431e-10
-8.0,4,0.01981200943615633,63.712709249294285,5.315649409550282e-10
-6.0,4,0.033339839015929545,68.34165679186788,5.322762345964684e-10
-4.0,4,0.06589526878583273,74.71763320708912,5.319697887542453e-10
-2.0,4,0.1293624220521542,83.26482467803092,5.335224792462524e-10
0.0,4,0.23294270833333336,88.17859893030804,5.335743333440472e-10
2.0,4,0.3549107142857143,93.47358050680475,5.396689556105905e-10
4.0,4,0.4304315476190476,97.48651076956524,5.527653611994162e-10
6.0,4,0.46456473214285715,102.61396776713741,5.523528621325374e-10
8.0,4,0.4810267857142857,108.25943293696271,5.559757707819472e-10
10.0,4,0.48800223214285715,115.9517618353005,5.624091012639111e-10
