jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.014453557082065239,0.00026667880273156764,0.013998206132072885,0.014729426747067134,61.65169395535081,0.13506229235401787,5.317051115665873e-10,2.849846838227963e-13,5
-8.0,0.016169964134390962,0.00035355858150379457,0.015690356113123936,0.016674984957661402,65.79105903509904,0.19291234516035985,5.316034484310861e-10,3.2745040679191146e-13,5
-6.0,0.019402867653731948,0.00041526814476433897,0.018903912380884142,0.020012835944621853,70.62878954981804,0.20592844291726078,5.31660222141414e-10,3.2433943379692837e-13,5
-4.0,0.026773226538414137,0.0004227612876654889,0.026249123376564588,0.027438325744556367,75.83057280828343,0.2790652362014528,5.315671084293277e-10,2.767793639832154e-13,5
-2.0,0.04310929074151779,0.0005643106304216341,0.04235270067643261,0.04391697874340018,81.10872212675903,0.23997884775263947,5.323202855610252e-10,2.797764048795639e-13,5
0.0,0.07532914262244048,0.0005392403968793859,0.07466034190118355,0.07619312527642634,86.46895803838072,0.43820485161083694,5.338963844829267e-10,7.340816979189035e-13,5
2.0,0.1302337992488662,0.0020251329277437558,0.12645465738378686,0.13220663265306123,91.24399878171819,0.6671021309656985,5.337074035367573e-10,1.069884171684239e-12,5
4.0,0.20430059523809527,0.0041343237106634696,0.19758184523809524,0.20930989583333331,94.19583548054918,0.9807206894315481,5.332507061350762e-10,1.1211846590090094e-12,5
6.0,0.28266369047619044,0.0038425755619181153,0.27804129464285715,0.2895275297619047,96.84952714412539,1.1521516552741684,5.39410054524316e-10,2.212733612765613e-12,5
8.0,0.36140252976190473,0.008084437754935137,0.351655505952381,0.374906994047619,100.82169289578106,1.1275219036437023,5.463434363190311e-10,1.884889783580776e-12,5
10.0,0.41806175595238093,0.006256197324279121,0.40755208333333337,0.42578125,106.45066629719932,0.8158883605780005,5.575912646693922e-10,5.254567782498235e-12,5
