jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.03248762534329328,0.012724162836531789,0.012762922238661946,0.05119212588439164,60.59057403933174,2.7592945381754777,5.316187687516311e-10,4.066172201046396e-13,5
-8.0,0.06767941014296833,0.03412751597302303,0.01313908812036873,0.11568279655612246,65.00345183539307,3.8635627091145004,5.337308002551333e-10,1.9666040437742934e-12,5
-6.0,0.14241442695058434,0.07847764155058894,0.014171774324659514,0.24800037202380953,69.39468970266879,3.69466434995964,5.334848027536317e-10,1.4989620306123567e-12,5
-4.0,0.25737994360077554,0.13271739992362583,0.015647857884829995,0.39983258928571425,74.46527047742761,4.206624174290442,5.370809065094294e-10,3.0135787048466825e-12,5
-2.0,0.35786579253982115,0.17039399642119188,0.020913784127677214,0.4756324404761905,79.72638601802853,3.8849045593258276,5.452916443232415e-10,7.407035859444102e-12,5
0.0,0.40052577649706833,0.181793799022946,0.03722709677105579,0.50390625,85.47565442995582,3.4500189803925676,5.502950988133509e-10,1.0053871416988206e-11,5
2.0,0.4149548343713329,0.16864968514646003,0.07812238614237867,0.5092075892857143,91.07178360409998,2.0641586220312025,5.533651559330332e-10,1.1799659249396104e-11,5
4.0,0.4348721832482993,0.1305825119830652,0.1743609162414966,0.5103236607142857,95.54761883172952,1.4368710729833392,5.550103997803369e-10,1.0639615813866293e-11,5
6.0,0.4609561011904762,0.07863184160013226,0.30478050595238093,0.5103236607142857,97.75351441732025,3.0074437120588837,5.581371636477584e-10,9.153228170097498e-12,5
8.0,0.487109375,0.027384945280161666,0.435546875,0.5103236607142857,102.05112755922956,4.8623469518896165,5.65636411104151e-10,6.1192318738668375e-12,5
10.0,0.4963727678571429,0.011742641462109482,0.4818638392857143,0.5103236607142857,107.25751297254347,6.3259947226249675,5.756077914843086e-10,8.374258563986523e-12,5
