jsr_db,realization,ber,mse_tau,mse_fd
-10.0,0,0.014551776927077974,61.70909042922248,5.320255255799104e-10
-8.0,0,0.016050329789655187,65.88648501586518,5.320782225427108e-10
-6.0,0,0.0191949333229226,70.75843824273822,5.321860715070908e-10
-4.0,0,0.02638984581939521,76.0902823816895,5.32097797615045e-10
-2.0,0,0.04391697874340018,81.28351541643563,5.325061134460181e-10
0.0,0,0.07566620912345201,87.07480089617509,5.342010947229462e-10
2.0,0,0.13065387613378684,91.83072234613326,5.339177284975001e-10
4.0,0,0.20205543154761907,94.68374189415434,5.345260748680891e-10
6.0,0,0.2825055803571429,97.39765063632429,5.432903805121444e-10
8.0,0,0.3655133928571428,101.2974176883646,5.467434025888703e-10
10.0,0,0.4216889880952381,106.40046578935949,5.625764265680311e-10
-10.0,1,0.014322155086217023,61.67332274721587,5.311911127734586e-10
-8.0,1,0.015970907035415934,65.69272765526674,5.311142099846692e-10
-6.0,1,0.01914045299449619,70.52255752581415,5.315351177493893e-10
-4.0,1,0.026905339326423926,75.61616462728247,5.314792604220011e-10
-2.0,1,0.04235270067643261,80.89793039074104,5.322692999680844e-10
0.0,1,0.07501360902752709,85.76703205898447,5.329097201069516e-10
2.0,1,0.1301540798611111,90.62297149688368,5.345144464857338e-10
4.0,1,0.20518973214285716,92.61281928569312,5.331391348747323e-10
6.0,1,0.2828776041666667,95.04823140676663,5.395000945722276e-10
8.0,1,0.3565848214285715,98.81296518087929,5.443726403698683e-10
10.0,1,0.41517857142857145,105.78058396364038,5.544905900100473e-10
-10.0,2,0.013998206132072885,61.86004975706055,5.316392703024129e-10
-8.0,2,0.015690356113123936,66.10273659417203,5.316977838315999e-10
-6.0,2,0.018903912380884142,70.97049388078617,5.317461833483787e-10
-4.0,2,0.026249123376564588,76.2320008144078,5.315227170714543e-10
-2.0,2,0.04350329088560053,81.4797176251922,5.326260225106441e-10
0.0,2,0.07466034190118355,86.70234670024148,5.347619178682736e-10
2.0,2,0.13220663265306123,91.98539125030452,5.342036100452486e-10
4.0,2,0.20930989583333331,95.56399470570423,5.336621684538015e-10
6.0,2,0.2895275297619047,98.55119090211723,5.365435518856591e-10
8.0,2,0.374906994047619,102.04279955793162,5.451790790910119e-10
10.0,2,0.42578125,107.87901148765253,5.519109782743441e-10
-10.0,3,0.014729426747067134,61.470983999970024,5.318596785880622e-10
-8.0,3,0.016463242776098366,65.53063602218047,5.317356542190341e-10
-6.0,3,0.01976220362573496,70.43010345793172,5.316492274973298e-10
-4.0,3,0.026883498425130572,75.69392338398725,5.314464140068339e-10
-2.0,3,0.043124598526421566,81.03923945259757,5.323861012823719e-10
0.0,3,0.07619312527642634,86.5353518117215,5.344611106856692e-10
2.0,3,0.13169975021258504,90.30072701519931,5.342989544037106e-10
4.0,3,0.20736607142857139,93.78008437463886,5.337351294422326e-10
6.0,3,0.28036644345238093,96.84429009053169,5.394011783690353e-10
8.0,3,0.351655505952381,101.5046543018773,5.49787527584825e-10
10.0,3,0.40755208333333337,105.5553438278349,5.651511732220245e-10
-10.0,4,0.01466622051789118,61.54502284328511,5.31809970589092e-10
-8.0,4,0.016674984957661402,65.74270988801075,5.313913715774164e-10
-6.0,4,0.020012835944621853,70.46235464181996,5.311845106048809e-10
-4.0,4,0.027438325744556367,75.52049283405017,5.312893530313041e-10
-2.0,4,0.04264888487573405,80.8432077488288,5.318138905980076e-10
0.0,4,0.07511242778361346,86.26525872478109,5.331480790307933e-10
2.0,4,0.12645465738378686,91.4801818000702,5.316022782515935e-10
4.0,4,0.19758184523809524,94.33853714255535,5.311910230365251e-10
6.0,4,0.27804129464285715,96.40627268488709,5.383150672825135e-10
8.0,4,0.3583519345238095,100.45062774985244,5.456345319605796e-10
10.0,4,0.42010788690476186,106.63792641750926,5.538271552725141e-10
