2026-09-24 09:20:15 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=1 jammed=1.000 BER=0.5004 (1 s)
2026-09-24 09:20:19 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=2 jammed=1.000 BER=0.0001 (2 s)
2026-09-24 09:20:21 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=2 jammed=1.000 BER=0.0003 (2 s)
2026-09-24 09:20:22 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=2 jammed=1.000 BER=0.0016 (1 s)
2026-09-24 09:20:24 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=2 jammed=1.000 BER=0.0142 (1 s)
2026-09-24 09:20:25 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=2 jammed=1.000 BER=0.1067 (1 s)
2026-09-24 09:20:26 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=2 jammed=1.000 BER=0.3701 (1 s)
2026-09-24 09:20:28 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=2 jammed=1.000 BER=0.0073 (1 s)
2026-09-24 09:20:29 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=2 jammed=1.000 BER=0.0731 (1 s)
2026-09-24 09:20:31 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=2 jammed=1.000 BER=0.3459 (2 s)
2026-09-24 09:20:33 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=2 jammed=1.000 BER=0.4934 (2 s)
2026-09-24 09:20:35 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=2 jammed=1.000 BER=0.4973 (2 s)
2026-09-24 09:20:37 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=2 jammed=1.000 BER=0.4973 (1 s)
2026-09-24 09:20:40 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=3 jammed=1.000 BER=0.0080 (1 s)
2026-09-24 09:20:41 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=3 jammed=1.000 BER=0.1104 (2 s)
2026-09-24 09:20:43 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=3 jammed=1.000 BER=0.4370 (1 s)
2026-09-24 09:20:44 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=3 jammed=1.000 BER=0.4996 (1 s)
2026-09-24 09:20:47 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=3 jammed=1.000 BER=0.4997 (3 s)
2026-09-24 09:20:51 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=3 jammed=1.000 BER=0.4997 (3 s)
2026-09-24 09:20:53 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=3 jammed=1.000 BER=0.0020 (2 s)
2026-09-24 09:20:56 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=3 jammed=1.000 BER=0.0244 (3 s)
2026-09-24 09:20:57 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=3 jammed=1.000 BER=0.2103 (2 s)
2026-09-24 09:20:59 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=3 jammed=1.000 BER=0.4715 (2 s)
2026-09-24 09:21:02 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=3 jammed=1.000 BER=0.4995 (3 s)
2026-09-24 09:21:04 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=3 jammed=1.000 BER=0.4997 (2 s)
2026-09-24 09:21:21 | root                           | INFO   | Logging configured: file=/content/dual-head-ultra-can/results/full/logs/runner.log level=INFO
2026-09-24 09:21:21 | __main__                       | INFO   | Mode: full
2026-09-24 09:21:21 | __main__                       | INFO   | Models: ALL (config)
2026-09-24 09:21:21 | __main__                       | INFO   | No dataset regeneration: True
2026-09-24 09:21:21 | __main__                       | INFO   | ================================================================================
2026-09-24 09:21:21 | __main__                       | INFO   | EXPERIMENT frequency_agility
2026-09-24 09:21:21 | __main__                       | INFO   | ================================================================================
2026-09-24 09:21:21 | __main__                       | INFO   | experiment_name = frequency_agility_full
2026-09-24 09:21:21 | __main__                       | INFO   | seed = 42
2026-09-24 09:21:21 | __main__                       | INFO   | lambda_mse = 2
2026-09-24 09:21:21 | __main__                       | INFO   | sequence_length = 100
2026-09-24 09:21:21 | __main__                       | INFO   | map_type = logistic / map_param = 3.9
2026-09-24 09:21:21 | __main__                       | INFO   | backbone_type = conv1d
2026-09-24 09:21:21 | __main__                       | INFO   | epochs = 5
2026-09-24 09:21:21 | src.utils.config_loader        | INFO   | config snapshot saved: /content/dual-head-ultra-can/results/full/frequency_agility/logs/config_used.yaml
2026-09-24 09:21:21 | __main__                       | INFO   | ============================================================
2026-09-24 09:21:21 | __main__                       | INFO   | frequency_agility experiment (models=['conv1d', 'qkv', 'lstm', 'mc_dlsk'])
2026-09-24 09:21:21 | __main__                       | INFO   | ============================================================
2026-09-24 09:21:21 | __main__                       | INFO   | frequency_agility conv1d: model loaded from /content/dual-head-ultra-can/results/full/ber_vs_snr/k3_doppler_full/conv1d/best_model.keras
2026-09-24 09:21:23 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] channels=8 dwell=1 slot=10.0 us hop_rate=100000 Hz bursts=20000 realizations=5 snr=21.0 dB K=3
2026-09-24 09:21:23 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] controlled comparison: fh_off and fh_on share the same per-slot channel process and the same transmission; only the hop sequence and the jammer coverage differ
2026-09-24 09:21:28 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=0 jammed=1.000 BER=0.0027 (2 s)
2026-09-24 09:21:31 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=0 jammed=1.000 BER=0.0348 (2 s)
2026-09-24 09:21:32 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=0 jammed=1.000 BER=0.2844 (2 s)
2026-09-24 09:21:34 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=0 jammed=1.000 BER=0.4995 (1 s)
2026-09-24 09:21:35 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=0 jammed=1.000 BER=0.5031 (1 s)
